,date,text,top_image,keywords,summary,url,query,is_shop
0,,"03.02.12 |

Что называется кабелем?

Кабель представляет собой одну или же несколько изолированных и скрученных вокруг друг друга жил, которые помещены в герметичную оболочку. На такой оболочке может находиться дополнительный защитный слой, предохраняющий кабель от разного рода механических повреждений.

Где используются кабели?

По своим основным функциям кабели делят на две основные группы — силовые и контрольные. Силовые используются для того, чтобы передавать и правильно распределять электрическую энергию, направляя ее к разного рода токоприемникам и распределительным устройствам. Контрольные необходимы для соединения электрических приборов, аппаратов и сборок зажимов (например, в сетях управления, автоматизации и сигнализации) с источником тока.

Какие бывают кабели по типу изоляционного слоя и виду оболочки?

По разновидности изоляции и оболочки кабели можно разделить на несколько основных групп:

— с пропитанной бумажной изоляцией, помещенные в металлическую оболочку;

— с бумажной изоляцией, которую пропитывают нестекающим составом, и также размещают в металлической оболочке;

— с изоляционным слоем, изготовленным из пластмассы, который затем устанавливают в пластмассовую или металлическую оболочку;

— резиновый изоляционный слой с последующим помещением кабеля в пластмассовую, резиновую или металлическую оболочку.

В каждой из приведенных групп кабели делят по номинальному напряжению, количеству жил, по материалу, из которого они изготовлены, а также по типу защитного слоя.

Чем руководствуются при изготовлении кабелей?

Кабели производят, базируясь на государственных и отраслевых стандартах (ГОСТы и ОСТы), а также руководствуясь техническими условиями.

Какие бывают кабели?

Как правило, кабели рассчитывают на определенное номинальное напряжение, в связи с чем выбирается и его сечение. Обычно кабели рассчитаны на напряжение 0,66; 1; 3; 6; 10; 20; 35 кВ, их сечение может составлять 1; 1,5; 2,5; 4; 6; 10; 16; 25; 35; 70; 95; 120; 150; 185; 240; 300; 400; 500; 625; 800 и 1000 мм2.

Жилы, по которым проходит электрический ток, производят из медной проволоки марок ММ (мягкая) и МТ (твердая), а также из алюминиевых AM (мягкая), АПТ (полутвердая), AT (твердая), АТП (повышенной твердости). Далее производят скручивание этих жил в одну.

Как оптимизируют изготовление кабелей?

Для того чтобы сделать диаметр кабеля как можно меньше, используют жилы круглой, фасонной или же комбинированной формы. Если в кабеле используются секторные или даже сегментные жилы вместо круглых, то это в конечном счете позволяет уменьшить диаметр данного кабеля приблизительно на четверть. Кроме того, это позволяет в значительной степени уменьшить расход других материалов, идущих на изготовления изоляционного слоя, оболочки и разного рода защитных покровов.

В зависимости от того в каких условиях будет проложен кабель, необходимо использовать кабели с медными или алюминиевыми жилами. Если в кабеле используется однопроволочная алюминиевая жила, сечение которой составляет до 240 мм2, то в этом случае стоимость кабеля будет меньше, однако жесткость его будет больше, что в значительной степени усложнит его прокладку.

Как узнать, что в кабеле содержится только одна жила?

Если кабель одножильный, то после цифры, которая сообщает о его сечении, должны находиться еще две буквы — «ож».

Из какого материала обычно изготавливают кабели?

Токопроводящие жилы делают, главным образом, из алюминия, несмотря на то, что сопротивление алюминия в 1,65 раз больше по сравнению с медным. В связи с этим для того, чтобы передать по кабелю электрический ток одинаковой мощности при одинаковом напряжении, необходимо взять алюминиевую жилу, толщина которой будет больше по сравнению с медной для передачи такого же тока. Также следует отметить, что алюминий имеет низкий предел текучести, уровень его теплоемкости по сравнению с медным более высокий.",https://eti.su/favicon.ico,"['бывают', 'из', 'такое', 'и', 'того', 'в', 'по', 'или', 'что', 'какие', 'на', 'кабель', 'с', 'кабели']","Какие бывают кабели по типу изоляционного слоя и виду оболочки?
В каждой из приведенных групп кабели делят по номинальному напряжению, количеству жил, по материалу, из которого они изготовлены, а также по типу защитного слоя.
В зависимости от того в каких условиях будет проложен кабель, необходимо использовать кабели с медными или алюминиевыми жилами.
Как узнать, что в кабеле содержится только одна жила?
Токопроводящие жилы делают, главным образом, из алюминия, несмотря на то, что сопротивление алюминия в 1,65 раз больше по сравнению с медным.",https://eti.su/articles/kabel-i-provod/kabel-i-provod_654.html,Кабель определение,False
1,,"электрический, один или несколько изолированных проводников, заключённых в герметическую оболочку, поверх которой, как правило, накладываются защитные покровы. К. применяют для передачи на расстояние электрической энергии или сигналов (высоковольтные линии электропередачи, электроснабжение промышленных предприятий, транспорта и коммунальных объектов; магистральные линии связи, городская телефонная сеть, средства радиосвязи и телевидения; подача электроэнергии к движущимся рабочим машинам — экскаваторам, врубовым и торфодобывающим машинам и т. д.; электрооборудование судов, летательных аппаратов и т. п.). Конструкция К. существенно зависит от условий его прокладки и эксплуатации (под землёй, в воде, на воздухе, в химически активных средах, при низких или высоких температурах, при повышенной влажности и т. д.).

-8ом․м, алюминия ρ = 2,9․10‑8ом․м). В зависимости от условий эксплуатации токопроводящие жилы могут иметь различную степень гибкости, быть однопроволочными или скрученными из многих проволок. В силовых кабелях токопроводящие жилы нормируют по сечению, выбор которого зависит от передаваемой мощности. В СССР наиболее распространены сечения: 10, 16, 25, 35, 50, 70, 95, 120 и 150 мм2. В кабелях связи (См. К. любых типов имеют общие конструктивные элементы: токопроводящие жилы, изоляцию и оболочку. Токопроводящие жилы изготавливают из меди или алюминия, имеющих наименьшее (после серебра) электрическое сопротивление (удельное сопротивление электротехнической меди ρ = 1,7․10ом․м, алюминия ρ = 2,9․10ом․м). В зависимости от условий эксплуатации токопроводящие жилы могут иметь различную степень гибкости, быть однопроволочными или скрученными из многих проволок. В силовых кабелях токопроводящие жилы нормируют по сечению, выбор которого зависит от передаваемой мощности. В СССР наиболее распространены сечения: 10, 16, 25, 35, 50, 70, 95, 120 и 150 мм. В кабелях связи (См. Кабель связи ) токопроводящие жилы нормируют по диаметру.

Изоляция К. выполняется из сплошного, слоистого или каркасно-воздушного диэлектрика (См. Диэлектрики ), отделяющего токопроводящие жилы друг от друга и от оболочки. В многожильных К. скрученные изолированные жилы дополнительно покрывают изоляцией (поясной), как правило, из того же материала, что и основная; поясная изоляция служит бандажом, придавая К. круглую форму. Изоляционные материалы должны обладать высоким электрическим сопротивлением и необходимой по условиям эксплуатации электрической прочностью при возможно меньшей толщине, а также низкими диэлектрическими потерями (tgδ), минимальной диэлектрической проницаемостью (ε) и высокой стойкостью к старению. В зависимости от условий эксплуатации к изоляции могут предъявляться дополнительные требования: негорючесть, повышенная гибкость, влагостойкость и др. Особое значение имеет нагревостойкость изоляции, т. е. способность выдерживать повышенную температуру без существенного уменьшения эксплуатационной надёжности, т. к. повышение верхнего предела рабочей температуры позволяет снизить габариты и массу К. В качестве изоляции наиболее распространены кабельная и телефонная бумага, резины на основе натурального и синтетического каучуков, пластмассы (полиэтилен различных модификаций, поливинилхлорид, полистирол и др.). В состав изоляции в качестве компонентов могут входить минеральные масла и масло-канифольные составы, а также некоторые инертные газы под давлением.

Оболочки в виде сплошных труб поверх изолированных токопроводящих жил служат для защиты их от механических7 повреждений, воздействия влаги, света, химических веществ. Для К., с легко увлажняемой (гигроскопической) изоляцией предпочтительно применение оболочки из свинца или алюминия — материалов с диффузионной константой, близкой к нулю. Свинцовые оболочки легко формуются при сравнительно невысоких температурах (180—220 °С) и, несмотря на многие недостатки: большая плотность (11,4 г/см3), вредность в обработке, малая вибростойкость и механическая прочность, широко используются при изготовлении К. Более перспективен для этих целей алюминий, который в 2—2,5 раза прочнее и в 3,3 раза легче свинца, более вибростоек и менее дефицитен. Однако для прессования алюминия требуется более сложное оборудование, т. к. его пластическая деформация требует значительных усилий даже при температуре 450—500 °С. Для повышения гибкости алюминиевые оболочки К. больших диаметров гофрируют. К. со сплошной пластмассовой изоляцией обычно имеют оболочки из различных поливинилхлоридов и пигментированного сажей (1—2%) полиэтилена (влагопроницаемость поливинилхлоридов в 10 раз выше, чем полиэтилена). К. с резиновой изоляцией имеют, как правило, оболочку на основе различных синтетических каучуков, придающих ей нефтемаслостойкость, негорючесть, повышенную морозостойкость, гибкость, механическую прочность.

Для защиты оболочек К. от механических повреждений и коррозии на них накладывают защитные покровы, в состав которых в большинстве случаев входят бронепокровы (броня). Чаще всего бронёй служат две стальные ленты толщиной 0,3—0,8 мм, иногда с цинковым или битумным покрытием, надёжно защищающие К. от повреждений при прокладке в земле, внутри помещений, в каналах, блоках, тоннелях. Для защиты К. от воздействия значительных растягивающих усилий на него накладывают броню из круглых (реже плоских) оцинкованных стальных проволок диаметром от 1,4 до 6 мм (обязательно при прокладке по дну водоёмов, в буровых скважинах и т. п.). Под броню и поверх неё накладывают мягкие покровы из нескольких слоев битума, пропитанной бумажной ленты или кабельной пряжи (джута). К., прокладываемые в особо агрессивных средах, в земле при наличии блуждающих токов, а также все К. с алюминиевой оболочкой, независимо от условий их эксплуатации, защищают усиленными покровами, в состав которых входит пластмассовое покрытие — ленточное либо сплошное. При прокладке в шахтах или пожароопасных помещениях К. защищают негорючими покровами (например, из стеклянной пряжи, каменноугольного пека). Для защиты К. от незначительных механических повреждений применяется панцирь из стальных оцинкованных проволок диаметром до 0,3 мм или оплётка из волокнистых материалов, пропитанных противогнилостными составами.

В СССР выпускается более 1000 типов К., маркировка, ассортимент, назначение, конструкция и характеристики которых приводятся в соответствующих стандартах. Для планирования и организации производства принята детальная классификация К. по группам с учётом общности технологических процессов. На её основе осуществляется специализация заводов и цехов по производству К. Обычно К. имеют буквенное обозначение (марку) с указанием числа, сечения или диаметра токопроводящих жил (см. таблицу). У некоторых К. дополнительно указывается значение наиболее важной характеристики (рабочее напряжение, номинальное волновое сопротивление и пр.) либо характерная конструктивная особенность (тип и количество коаксиальных пар, парная или четвёрочная скрутка и пр.). Буквы обычно обозначают название металла токопроводящей жилы, материала оболочки и изоляции, наличие и тип защитных покровов и брони, часто область применения (контрольный, судовой, для сигнализации и блокировки, монтажный и т. д.). Например, АСК 3×95—6 — силовой К. (подразумевается) трёхжильный, с алюминиевыми жилами сечением 95 мм; в свинцовой оболочке, бронированный стальными круглыми проволоками с усиленными защитными наружными покровами, на номинальное напряжение 6 кв: ТПВБГ 100×2×0,5 — телефонный К. с полиэтиленовой изоляцией, в поливинилхлоридной оболочке, бронированный стальными лентами с противокоррозионным покрытием, 100-парный с диаметром медных жил 0,5 мм.

На рис. приведены сведения о К., наиболее часто применяемых в различных областях техники, с указанием основных марок каждого типа, характеристик конструкций, основных параметров, условий прокладки, эксплуатации, преимущественной области применения, а также схематичные поперечные разрезы К.

Лит.: Брагин С. М., Электрический и тепловой расчёт кабеля, М. — Л., 1960; Бачелис Д. С., Белоруссов Н. И., Саакян А, Е., Электрические кабели, провода и шнуры (Справочник). 2 изд., М. — Л., 1963; Кабели и провода, т. 1—3, М. — Л., 1959—64; Основы кабельной техники, М. — Л., 1967; Привезенцев В. А., Ларина Э. Т., Силовые кабели и высоковольтные кабельные линии, М., 1970.

В. М. Третьяков.

Особо гибкий (шланговый) кабель высокого напряжения КШВГЛ 3×95+3×10. Силовой комбинированный (3 жилы, сечением 95 мм2 и 3 заземляющие жилы сечением 10 мм2) с резиновой изоляцией в двойной резиновой оболочке (шланге); наружный диаметр 69 мм; заводская длина 200 м. Для подачи электроэнергии к землеройным и горнодобывающим машинам (экскаваторам, отвалообразователям и др.) в любых погодных условиях. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка.

Маслонаполненный с центральным каналом МНСА, МССА. Одножильный с бумажной изоляцией в свинцовой оболочке, усиленной медными лентами, имеет антикоррозионный покров, канал — свёрнутая в спираль проволока из нержавеющей стали; сечение 150—800 мм2; напряжение 110—220 кв. Для соединения повышающих трансформаторов крупных электростанций с открытыми распределительными устройствами, для прокладки через водные преграды и в районах с интенсивной застройкой и т. п.; прокладывается в траншеях, тоннелях, по дну водоёмов (обязательно с проволочной бронёй толщиной до 6 мм). 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 4 — наружные защитные покровы.

Маслонаполненный в стальном трубопроводе МВДТ (высокого давления). 3-жильный с бумажной изоляцией; прокладывается в стальной трубе диаметром до 219 мм, заполненной маслом под давлением; покрыт антикоррозионными покровами; напряжение 220—500 кв; трубопровод сваривают непосредственно на трассе прокладки. Для соединения повышающих трансформаторов крупных электростанций с открытыми распределительными устройствами, для прокладки через водные преграды и в районах с интенсивной застройкой и т. п.; прокладывается в траншеях, тоннелях, по дну водоёмов (обязательно с проволочной бронёй толщиной до 6 мм). 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 4 — наружные защитные покровы.

Силовой бронированный СБ, АСБ, АБ, ААБ; без защитных покровов СБГ, АСБГ, ААБГ. 3-жильный с бумажной изоляцией в свинцовой или алюминиевой оболочке, защищенный бронёй из стальных лент (2 слоя) и покровами из джута и битума; сечение 25—240 мм2; напряжение 1—10 кв; предельная температура 80°C; заводская длина свыше 200 м. Для силовых и осветительных установок; прокладывается в земле (траншеях), по стенам зданий. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 4 — наружные защитные покровы; 5 — броня, экран.

Лифтовый шланговый кабель с несущим тросом КЛШВ-6. Особо гибкий 6-жильный, медные жилы с резиновой изоляцией; жилы скручены вокруг стального в резиновой оболочке троса (с разрывным усилием 200 кгс или 2 кн); заключён в общую резиновую оболочку; наружный диаметр 14 мм. Для лифтовых установок с высотой подъёма до 40 м; подвешивается свободно. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 6 — стальной трос.

Газонаполненный под давлением бронированный кабель ГЭСК. 3-жильный с бумажной изоляцией, экранирован бумажной металлизированной лентой и медной лентой; газ подаётся между жилами; сечение 70—150 мм2; напряжение 60—138 кв; предельная температура 70°C. Для линий электропередачи высокого напряжения; разность уровней прокладки не ограничена. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 5 — броня, экран.

Магистральный бронированный кабель связи КМБ 8/6. Комбинированный из 8 основных и 6 малогабаритных коаксиальных пар, 1 счетверённого, 8 парных и 6 одинарных проводников для служебной связи и сигнализации; изоляция — воздушная, оболочка свинцовая, бронь стальная ленточная. Для междугородных линий дальней связи и связи между пунктами на трассе. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 5 — броня, экран.

Телефонный кабель ТПП 100×2×0,5. Многопарный (100 пар медных жил диаметром 0,5 мм) с полиэтиленовой изоляцией в полиэтиленовой оболочке; экранирован гладкой или гофрированной алюминиевой лентой; электрическое сопротивление 90 ом/км; температура от -50 до 50°C; заводская длина 200—350 м. Для распределительных и соединительных линий городских телефонных сетей. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 5 — броня, экран.

Контрольный кабель КВРГ 19×1,5. Многожильный (19 жил из сплошных проволок сечением 1,5 мм2) с резиновой изоляцией в поливинилхлоридной оболочке; напряжение до 2 кв; температура от -40 до 50°C; заводская длина не менее 100 м. Присоединяется к электрическим приборам и устройствам управления, защиты и связи. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка;

Каротажный бронированный кабель КОБД-4. Одножильный (сталемедный) с теплостойкой (до 80°C) резиновой изоляцией в нефтестойком резиновом шланге; броня — два повива стальной проволоки; заводская длина от 3 до 3,5 км. Для электрической разведки месторождений (каротажа) нефти, руды, угля и т. п., при бурении глубоких скважин. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 4 — наружные защитные покровы; 5 — броня, экран.

Мощный радиочастотный коаксиальный кабель РК-75-7-16. Одножильный со сплошной полиэтиленовой изоляцией в металлической оплётке, оболочка поливинилхлоридная; волновое сопротивление 75 ом, диаметр по изоляции 7 мм: температура от 40 до 70°C; заводская длина не менее 50 м. Для подвода электроэнергии к передающим антеннам и от приёмных антенн в радиоустановках. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 5 — броня, экран.

Камерный телевизионный кабель КПТ-41. Комбинированный (3 коаксиальные пары, 3 счетверённых и 19 одножильных, 1 парный и 5 отдельных) с полиэтиленовой изоляцией в поливинилхлоридной оболочке, волновое сопротивление основных коаксиальных пар 75 ом; заводская длина 50 м. Для соединения передвижных телевизионных камер с источниками питания и передающей аппаратурой. 1 — токопроводящая жила; 2 — изоляция; 3 — оболочка; 5 — броня, экран.",https://academic.ru/images/Logo_social_ru.png?3,"['м', 'из', 'для', 'такое', 'и', 'это', 'от', 'в', 'к', 'или', 'что', 'изоляцией', 'кабель', 'с']","Диэлектрики ), отделяющего токопроводящие жилы друг от друга и от оболочки.
Для К., с легко увлажняемой (гигроскопической) изоляцией предпочтительно применение оболочки из свинца или алюминия — материалов с диффузионной константой, близкой к нулю.
К. с резиновой изоляцией имеют, как правило, оболочку на основе различных синтетических каучуков, придающих ей нефтемаслостойкость, негорючесть, повышенную морозостойкость, гибкость, механическую прочность.
: Брагин С. М., Электрический и тепловой расчёт кабеля, М.
В. М. Третьяков.",https://dic.academic.ru/dic.nsf/bse/91884/%D0%9A%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C,Кабель определение,False
2,,,,[],,https://cable911.ru/upload/media/default/0001/01/caff5c932c469c6ee28346a34e54fe9158d28f7f.pdf,Кабель определение,False
3,,"Эта функциональность предусмотрена только в определенных модулях расширения. Информация

Кабели представлены в EPLAN посредством определений кабеля. Они могут быть отображены графически посредством линии или . После этого в диалоговом окне свойств вы можете задать и определить таким образом кабель.

В навигаторе кабелей или навигаторе устройств предусмотрена возможность предварительного определения кабеля с определенными свойствами без графического представления в проекте. Такой кабель без размещения позже можно будет проложить на вывод или на клемму / клеммник (включая резервную клемму / резервный клеммник).

Предварительно определенный кабель идентифицируется на схеме соединений посредством устройства. При этом предварительное определение должно однозначно задавать тип кабеля и его (Кабель / Группа соединений: Число соединений, Кабель / группа соединений: Поперечное сечение / диаметр и т.д.). Дополнительно существует возможность предварительного определения длины для управления предварительно изготовленными (резервными) кабелями, которые будут использоваться позже.

Определение кабельных соединений

Есть несколько возможностей определить (т. е. или - в кабелях-гибридах - другие входящие в кабель ) вручную:

Путем черчения Линии определения кабеля при помощи соединений, которые должны входить в кабель. Определение этих соединений автоматически устанавливается на ""Жила / Провод"", и свойство Соединение: Принадлежность настраивается на значение ""Кабель"".

при помощи соединений, которые должны входить в кабель. Определение этих соединений автоматически устанавливается на ""Жила / Провод"", и свойство настраивается на значение ""Кабель"". Точка определения соединения размещается на каждом соединении, которое должно входить в кабель. На точках определения соединения выберите для свойства Соединение: Принадлежность значение ""Кабель"".

размещается на каждом соединении, которое должно входить в кабель. На точках определения соединения выберите для свойства значение ""Кабель"". Выводу устройства функции (в логической схеме выводов устройства) присваивается свойство Вывод кабеля .

Замечание: Однополюсное представление кабелей:

Если в однополюсном представлении протянуть линию определения кабеля через соединение типа 'Кабели', там будет размещена точка определения соединения, и на ней автоматически будет записан вид представления 'Однополюс.'. При смешанном отображении (однополюсные на многополюсных страницах) Вам необходимо ввести вид представления самостоятельно на точке обозначения соединения.

После определения кабельных соединений можно выбрать к ним соответствующий кабель из базы данных изделия. Для этого используется или изделий, или автоматический выбор кабелей. При автоматическом выборе кабелей EPLAN согласно установленным настройкам автоматически генерирует определение кабеля и задает тип кабеля с определенными свойствами. Дополнительно изменить свойства кабеля вручную можно и после автоматического присвоения кабеля.

Присвоение кабельных соединений кабелю

Кабельные соединения присваиваются кабелю, при этом им назначаются одинаковые ОУ.

Если соединения отрезаются от Линии определения кабеля, там автоматически размещаются точки определения соединений, а соединения сохраняют ОУ линии определения кабеля. Точки определения соединений в этом случае невидимы, просмотреть точки вставки и таким образом найти точки определения соединений можно через Вид > Точки вставки.

Значения в полях Видимое ОУ, Длина, Поперечное сечение / диаметр и Единица измерения переносятся с линии определения кабеля на отсеченные вами соединения, если соответствующие поля в диалоговом окне свойств автоматически размещенной точки определения соединения не имеют записи.

Кабельные соединения сохраняют ОУ Экранирования, если точки определения соединений расположены внутри символа экранирования.

Соединение можно также присвоить кабелю, для этого Точка определения соединения размещается на соединении, после чего там записывается ОУ кабеля. Дополнительно необходимо настроить свойство Соединение: Принадлежность на значение ""Кабель"".

Точки определения соединений, определяющие кабельное соединение, могут принимать ОУ от других точек определения соединений, определяющих кабельное соединение, которые находятся слева (или сверху, в зависимости от ). Здесь имеется в виду обычное сохранение ОУ (слева от чёрного ящика, ...). Таким образом, ОУ не переносится в поле свойства Видимое ОУ точек определения соединений.

Кабель-гибрид

Кроме жил кабель может включать световоды или шланги (кабель-гибрид).

На точках определения соединений, которые вставляются вместе с линией определения кабеля или экранированием, тип вывода устройства автоматически устанавливается на 'Жила / Провод'. Все остальные типы выводов устройств необходимо настраивать вручную в точке определения соединения через Выбор определения функции. Кроме того, если при обновлении соединений не соответствуют данным на точках определения соединений, будет отображаться сообщение об ошибке.

См. также

Кабели

Графическое представление кабелей и экранирований",,"['кабеля', 'определение', 'и', 'кабель', 'или', 'соединения', 'определения', 'кабелей', 'оу', 'на', 'в', 'соединений']","В навигаторе кабелей или навигаторе устройств предусмотрена возможность предварительного определения кабеля с определенными свойствами без графического представления в проекте.
При этом предварительное определение должно однозначно задавать тип кабеля и его (Кабель / Группа соединений: Число соединений, Кабель / группа соединений: Поперечное сечение / диаметр и т.д.).
Определение кабельных соединенийЕсть несколько возможностей определить (т. е. или - в кабелях-гибридах - другие входящие в кабель ) вручную:Путем черчения Линии определения кабеля при помощи соединений, которые должны входить в кабель.
При автоматическом выборе кабелей EPLAN согласно установленным настройкам автоматически генерирует определение кабеля и задает тип кабеля с определенными свойствами.
Если соединения отрезаются от Линии определения кабеля, там автоматически размещаются точки определения соединений, а соединения сохраняют ОУ линии определения кабеля.",https://www.eplan.help/help/platform/2.5/ru-ru/help/Content/htm/cablegui_k_arbeitsweise.htm,Кабель определение,False
