,date,text,top_image,keywords,summary,url,query,is_shop
0,2017-11-11 10:56:55+00:00,"Виды электрических кабелей и проводов

Современная промышленность, выпускающая электротехническую продукцию, готова предложить потребителю огромный ассортиментный кабельной продукции. Каждый вид электрического кабеля или тип провода используется для решения конкретной профессиональной задачи электрификации объекта. Любой человек, решивший выполнить монтаж электропроводки на личном дачном участке, в собственной городской квартире или частном доме вскоре поймет, что для таких работ чаще всего используются медные проводники и намного реже алюминиевые. Других вариантов просто не существует, хотя металлов с низким сопротивлением току достаточно много.

Почему медь и алюминий? Да все очень просто! Это самые дешевые цветные металлы, оптимально подходящие для производства проводов по своим техническим и конструктивным характеристикам. Конечно, вполне можно изготовить кабель из золота, но цена этого продукта будет запредельной!

Кабельные изделия и провода для монтажа электрической проводки в жилых и других объектах делятся на несколько типов и видов: мощные силовые кабели, специальные самонесущие кабели, электрические провода для скрытой и открытой проводки, монтажные проводники и так далее.

Спектр основных характеристик таких электротехнических изделий разнообразен. Вся кабельная электротехническая продукция делится на категории не только по своему назначению, но и по типу изоляционного слоя, структуре токоведущих проводников и металлу, из которого они изготовлены, конструктивным особенностям и другим параметрам. В этой статье будут рассмотрены основные типы и виды, технические параметры и другие характеристики электрических проводов и кабелей, которые применяются при выполнении работ по монтажу электропроводки и подключению к сетям электропередач частных домов, квартир, дач и других объектов недвижимости.

Внимание! Правильный выбор электрического кабеля или провода — это очень ответственное дело, от которого зависит безопасность вашей недвижимости и собственное здоровье. Поэтому для тех, кто не хочет столкнуться с такими катастрофическими событиями, как короткое замыкание, пожар или поражение электрическим током, рекомендуем тщательно выбирать электротехническую продукцию, соответствующую требованиям ПЭУ (правилам устройства электроустановок).

Силовые кабели

Мощный кабель для силовых линий — это одножильное или многожильное электротехническое изделие, предназначенное для снабжения электрической энергией стационарных потребителей, таких как частный дом, квартира, дача или передвижное оборудование. Силовой кабель соединяет главный распределительный щит или линию электропередач с конечным пользователем. Независимо от области использования и технических характеристик, его конструкция состоит из следующих обязательных элементов, являющихся его основой:

одной или нескольких металлических жил, предназначенных для передачи тока;

изоляционного слоя, обеспечивающего защиту токопроводящих элементов;

внешней оболочки, служащей для защиты всей конструкции кабеля в целом.

Кроме этих главных конструктивных частей силовых кабельных изделий, они могут включать в себя разнообразные дополнительные элементы, такие как поясная внешняя изоляция, экранирующий слой, броню с подушкой под нее. Конструкция силового кабеля зависит от его назначения, сферы использования и условий эксплуатации. Все эти факторы отражены в цветовой маркировке и названии изделий.

Важно! При выборе силового кабеля необходимо учитывать многие факторы: условия эксплуатации, тип и вид монтажа, а также соответствие нормам ПЭУ. Это обусловлено тем, что различные марки кабельной продукции имеют как достоинства, так и недостатки, которые нужно брать в расчет при покупке.

Силовой кабель — особенности маркировки

Свойства и конструктивные особенности силовых кабелей, а также сферы применения определяются маркировкой кабельной продукции. На сегодняшний день существует два вида маркировки таких изделий: цветом или буквами. В Российской Федерации используется буквенная, где каждый символ и его расположение имеет определенное значение. Первый знак обозначает материал жилы и если это «А», то она изготовлена из алюминия, а если буква отсутствует, то из меди. В нижеприведенной таблице представлена очередность знаков маркировки, их буквенное обозначение и расшифровка.

Номер знака в маркировке

силового кабеля Назначение символа Расшифровка символа 1 Материал токоведущих жил А — алюминий

Знак отсутствует — медь 2 Материал изоляционного слоя В — поливинилхлорид

Ц — пропитанная бумага

НР — негорючая резина

П — термопластичный полиэтилен 3 Тип внешней оболочки жил С — свинцовый сплав

А — алюминиевый сплав

О — отдельная оболочка для каждой жилы

П — полиэтилен или полимер

В — поливинилхлорид 4 Броневая защита Б — две ленты из стали с покрытием

Бн — то же с негорючим покрытием

БбГ — профилированная лента из стали

К — круглая оцинкованная проволока

П — то же с плоской проволокой 5 Экранировка Э — медная по изолированной жиле

Эо — общий медный для трех жил

г — набухающей в воде лентой

га — полимерно-алюминиевой лентой 6 Дополнительные характеристики нг — не горит

нг LS — не горит, низкое дымовыделение

Г — гибкий кабель

Если в маркировке отсутствует какой-либо из элементов, значит, его просто нет на силовом кабеле. Допустим, вы не видите обозначения брони, значит она отсутствует. Представленная буквенная маркировка актуальна не только для силовых кабелей, но и других видов проводов, с небольшими изменениями и дополнениями. Ниже мы рассмотрим основные и самые популярные марки силовых кабелей, которые выпускает электротехническая промышленность.

Кабель ВВГ

Основное назначение силового кабеля ВВГ — это электрификация объектов с напряжением в сети до 1 тыс. вольт. Эта марка особенно популярна для выполнения внутреннего монтажа электропроводки. Если обратиться к маркировочной таблице, представленной выше, то ВВГ — это медный кабель с изоляцией жил поливинилхлоридом, и внешней изоляцией в виде кембрика из того же материала, а буква «Г» говорит о том, что он гибкий. Количество жил изделия может быть от двух единиц до пяти. Срок службы данной продукции может достигать свыше 30 лет.

Силовой кабель ВВГ выпускается в разных исполнениях: АВВГ — с токоведущими проводниками из чистого алюминия, ВВГнг — в защитном кожухе из огнеупорного материала, ВВГп — изделие плоского вида и другие. Цвет внешней изоляции у большинства изделий черный, а для каждой жилы предусмотрена собственная цветовая гамма, соответствующая маркировке по стандарту: желтая с зеленой полосой для проводников РЕ, для жил N синяя или белая с синей полосой, а для фазовых жил абсолютно белая. Силовой кабель ВВГ почти полностью соответствует своему импортному аналогу, выпускаемому по зарубежному стандарту DIN, технические параметры которого представлены нижеследующем разделе.

Кабель NYM

Силовой кабель NYM используется для монтажных работ при прокладке сетей освещения и силовых электросетей как в жилых, так и промышленных помещениях. Максимальное значение напряжения, при котором можно применять данное изделие, не должно превышать 660 вольт. Кабель можно эксплуатировать на открытом пространстве, но следует учитывать, что его изоляция подвергается разрушению под воздействием солнечных лучей. Поэтому кабель NYM необходимо защищать специальной гофрой или другой защитной оболочкой. Главной особенностью этого изделия является то, что оно снабжено специальным наполнителем внутри внешней оболочки, который обеспечивает полную герметизацию жил.

В отличие от силового кабеля отечественной разработки ВВГ, провод NYM выпускается только в круглом исполнении с монолитными медными жилами. Этот факт дает ему преимущество при обычном электромонтаже, но его очень неудобно укладывать в штробы скрытой разводки. Во всем остальном кабель NYM является полным аналогом ВВГ. Внешняя и внутренняя изоляция изделия изготовлена из термостойкого ПВХ (поливинилхлорида). Ее цвет для внешней оболочки в основном черный, а изоляция токоведущих жил имеет следующую раскраску: черную, желтую с зеленой полосой, коричневую, а также серую и синею. На русском языке изделие не имеет буквенного обозначения.

Кабель СИП

Силовой кабель СИП — это самонесущий электрический провод с надежной изоляцией жил, само название которого говорит о его специфических свойствах. Главной его особенность является то, что он может выдерживать большие механические нагрузки. К тому же изоляционный слой изделия изготовлен из прошитого полиэтилена, который стойко переносит воздействие солнечных лучей и повышенной влажности. Исходя из этих свойств, СИП великолепно подходит для монтажа ЛЭП на открытом пространстве и ответвлений от них при электрификации различных объектов как жилых, а также небольших промышленных и торговых. Этот тип кабельной продукции постепенно вытесняет с рынка алюминиевые провода без изоляции марок «А» и «АС», которые повсеместно использовались для прокладки воздушных линий электропередач в недалеком прошлом.

Кабель СИП выпускается только с жилами из чистого алюминия, которые не имеют дополнительного общего изолирующего слоя. Площадь сечения проводников изделия может быть от 16 до 150 кв. мм. Маркировка этого кабеля не привязана напрямую к количеству токоведущих жил. К примеру, СИП-1 — это трехжильный кабель, нулевой токоведущий проводник которого является одновременно несущим. В обозначенном номере изделия зашифрована вся информация о продукции. Силовой кабель СИП довольно специфичная кабельная продукция. При его монтаже необходимо использовать специальную арматуру: анкерные специализированные кронштейны, особые зажимы для соединения и так далее. Без этих дополнительных элементов невозможно выполнить монтажные работы.

Кабель ВББШв

Это изделие относится силовым кабелям с броней и токоведущими проводниками из меди, которые производятся как в монолитном, так и в многопроволочном исполнении. Конструкция кабеля может насчитывать от 1 до 6 токоведущих жил, каждая из которых заключена в собственную изоляцию из ПВХ, а сверху они закрыты общей оболочкой из того же материала. Площадь сечения проводников колеблется от 1.5 до 240 кв. мм. Главной особенностью ВББШв является наличие между внешней защитной оболочкой и токоведущими жилами слоя брони, изготовленной из двух стальных лент.

Этот кабель рассчитан на эксплуатацию в широком диапазоне температур от –50 до +50 °C при влажности окружающей среды до 98%. Изоляция изделия устойчива к воздействию влаги и агрессивных сред. Бронированный кабель ВББШв предназначен для монтажа электрических сетей как в подземном варианте, так и на открытом воздухе в защитных оболочках, для исключения негативного воздействия солнечных лучей. ВББШв может эксплуатироваться в сетях с максимальным напряжением переменного тока до 6 тыс. вольт.

Внимание! В верхней части статьи мы рассмотрели самые распространенные виды силовых кабелей, которые присутствуют на современном рынке. Кроме этой продукции, для полноценного монтажа электрических сетей необходимо использовать другой тип электротехнических изделий, которые можно назвать электрическими проводами, хотя это чисто условное разделение. Ниже мы рассмотрим не силовые кабели, провода и шнуры, предназначенные для монтажа электропроводки и других целей.

Виды электрических проводов и шнуров

Для многих потребителей термины кабель и провод являются синонимами, но это не совсем так. Кабель — это сложное электротехническое изделие, как правило, с несколькими слоями изоляции и отдельной оболочкой для токоведущих жил. Электрические провода и шнуры намного проще по своим конструктивным характеристикам. Чаще всего они имеют один слой изоляции, редко два, а иногда выпускаются и вовсе без изоляционного слоя. Назначение у этих двух видов продукции тоже разное. Кабель предназначен для передачи тока большой мощности. Провода используются в сетях и устройствах с напряжением не более 380 В, хотя они могут выдержать и более высокие значения.

Среди всего разнообразия такой продукции наибольшую популярность у потребителя завоевали следующие марки: ПБПП, ПБППг, АПУНП, ППВ, АПВ, ПВС и ШВВП. Эти электрические провода используются для различных целей: монтажа внутренних электрических сетей, подключения приборов и оборудования, заземления и во многих других случаях. Ниже мы рассмотрим конструктивные особенности и области применения этих самых востребованных на сегодняшний день марок электротехнической продукции.

Провод ПБПП

Это плоский электрический провод с двумя или тремя монолитными жилами из меди. Внешний защитный слой и изоляция проводников изготовлена из ПВХ. Площадь сечения проводников от 1.5 до 6 кв. мм. Температура эксплуатации изделия от –15 до +50 °C с напряжением в сети до 250 В. Электрический провод ПБПП (ПУНП) используется при монтаже систем освещения и питания розеток. Существуют модификации этого изделия: ПБППг и АПУНП. Буква «г» в маркировке означает, что этот провод гибкий и его токоведущие проводники многопроволочные. Модификация с первой буквой «А» — это провод с алюминиевыми жилами.

Провод ПБПП получил очень широкое распространение, так как он отлично подходит для подключения освещения, монтажа электрических розеток и выключателей, а также для решения других электротехнических задач. Это изделие поистине универсальный проводник электрического тока, который пользуется высокой популярностью за счет своего отличного качества. Провод ПБПП рекомендован для использования при проведении электромонтажных работ в частном доме, квартире или на даче.

Важно! В основном провода марки ПБПП всех модификаций применяются в домашних и бытовых сетях. Они отлично подходят для монтажа внутренней проводки, но все же не следует их использовать как замену силовым кабелям. При покупке этой продукции будьте осторожны, так как достаточно часто встречается неправильная маркировка проводов этих марок!

Провод ППВ и АПВ

Провод ППВ — это плоское электротехническое изделие с монолитными жилами из меди в ПВХ изоляции с перемычками между проводниками. Количество токоведущих проводников два или три с площадью сечения от 0.75 до 6.0 кв. мм. Температурный диапазон эксплуатации изделия от –50 до +70 °C с напряжением в сети до 450 В и влажностью воздуха до 100%. Провод можно использовать в сетях освещения, а также в силовых линиях. Модификацией этого электротехнического изделия является провод электрический АППВ с жилами из алюминия.

АПВ — это самый востребованный алюминиевый провод с одной жилой в ПВХ изоляции круглой формы с площадью сечения от 2.5 до 16 кв. мм для монолитной жилы и от 25 до 95 кв. мм для многопроволочной. Влагостойкий, обладает повышенной прочностью и устойчив к любым механическим нагрузкам.

Провод ПВС

Шнур-провод ПВС — это самое востребованное электротехническое изделие, предназначенное для подключения к электрическим сетям осветительного оборудования, бытовой техники и других устройств, потребляющих электроэнергию. Конструкция провода многожильная, содержащая от 2 до 5 токопроводящих медных проводников. Жилы изделия многопроволочные, что придает ему отличную гибкость. Они покрыты изоляционным слоем из ПВХ и помещены в литую оболочку из того же материала, который герметично заполняет внутренний объем между жилами.

Провод ПВС круглый с плотной текстурой. Площадь сечения проводников от 0.75 до 16 кв. мм. Напряжение в сети до 380 В, а температура эксплуатации от –20 до +40 °C. Оболочка изделия, как правило, белого цвета, а изоляционный слой токоведущих жил цветной. Благодаря исключительной гибкости, шнур ПВС имеет высокую стойкость к механическим нагрузкам на изгиб. Модификация изделия с маркировкой ПВС У разработана для эксплуатации при низких температурах до –40 °C.

Рекомендация! Нормы ПЭУ не запрещают использование шнура ПВС для прокладки скрытой электропроводки, организации заземления и подключения электрических розеток. Но если вы решили использовать этот провод именно для таких целей, то следует знать, что его нельзя использовать на открытом пространстве и, конечно, укладывать в землю.

Провод ШВВП

Шнур-провод ШВВП предназначен для подключения бытовой техники и приборов к электрической сети. Главная его функция — это шнур присоединения маломощного оборудования через розетку к сети. Оболочка изделия изготовлена из обычного винила, из того же материала выполнен изоляционный слой каждой токоведущей жилы. Проводники тока многопроволочные, медные с площадью сечения от 0.5 до 0.75 кв. мм., их количество две или три. Изоляция шнура не имеет высокой прочности, поэтому при высоких нагрузках его лучше не применять. ШВВП по конструкции плоский, оболочка абсолютно белого или черного цвета, изоляция токоведущих жил цветная. Температура эксплуатации от –25 до +70 °C.

Кроме подключения бытовых приборов небольшой мощности и изготовления простых удлинителей, шнур ШВВП часто используют в системах контроля и автоматизации для запитывания слаботочных цепей. Гибкость изделия очень важный параметр, который позволяет применять провод в разнообразных сферах. К тому же ШВВП устойчив к агрессивным средам и может выдерживать влажность воздуха до 98%, что делает его влагостойким.

Важно! Площадь сечения жил проводов для монтажа электропроводки и подключения бытовых приборов зависит от силы тока, протекающего через них при максимальной нагрузке. Эту величину необходимо рассчитать и выбрать проводник с ближайшим большим значением площади сечения.

Заключение

В этой статье мы рассмотрели основные виды кабелей и проводов для передачи электрической энергии как в быту, так и на других объектах недвижимости. Разумеется это только маленькая часть всего ассортимента кабельной и проводной электротехнической продукции, но самая популярная на рынке. Перечислить все типы и виды проводов и кабельных изделий в ограниченном объеме статьи просто невозможно, но самые популярные марки, их маркировку и технические характеристики вы теперь знаете, что наверняка поможет вам при выборе такой продукции!",https://profazu.ru/wp-content/uploads/2017/11/01-vidy-kabelej.jpg,"['проводов', 'из', 'и', 'от', 'с', 'это', 'кабель', 'в', 'до', 'а', 'кабелей', 'электрических', 'виды', 'для']","Кабельные изделия и провода для монтажа электрической проводки в жилых и других объектах делятся на несколько типов и видов: мощные силовые кабели, специальные самонесущие кабели, электрические провода для скрытой и открытой проводки, монтажные проводники и так далее.
В этой статье будут рассмотрены основные типы и виды, технические параметры и другие характеристики электрических проводов и кабелей, которые применяются при выполнении работ по монтажу электропроводки и подключению к сетям электропередач частных домов, квартир, дач и других объектов недвижимости.
Представленная буквенная маркировка актуальна не только для силовых кабелей, но и других видов проводов, с небольшими изменениями и дополнениями.
Виды электрических проводов и шнуровДля многих потребителей термины кабель и провод являются синонимами, но это не совсем так.
ЗаключениеВ этой статье мы рассмотрели основные виды кабелей и проводов для передачи электрической энергии как в быту, так и на других объектах недвижимости.",https://ProFazu.ru/provodka/cable-wire/vidy-kabelej.html,Классификация кабелей,False
1,,,,,,https://xn----7sbbnf4acenkch8bl9k.xn--p1ai/raznoe/klassifikacziya-kabelej-klassifikacziya-kabelej-i-provodov-osobennosti-foto.html,Классификация кабелей,False
2,,,,,,https://vse-elektrichestvo.ru/elektroprovodka/provoda-i-kabelya/klassifikaciya-kabelej-i-provodov.html#i-6,Классификация кабелей,False
3,,"1.1. КЛАССИФИКАЦИЯ И НАЗНАЧЕНИЕ КАБЕЛЕЙ

Кабели по признакам материала проводящих жил передаваемой энергии или информации делят на две группы:

— электрические кабели с металлическими жилами и

— кабели с оптическими волокнами.

Кабели с оптическими жилами могут иметь и дополнительные металлические токопроводящие жилы.

Электрические кабели с металлическими жилами классифицируют по порядку передаваемой через кабели мощности, величине напряжения, типу изоляции, назначению и т.д. В соответствии с этим различают:

— силовые кабели низкого, среднего и высокого напряжения;

— силовые гибкие кабели;

— кабели управления;

— контрольные кабели;

— низковольтные провода и шнуры;

— кабели и провода связи;

— радиочастотные кабели;

— специальные кабели и др.

Силовые кабели предназначены для передачи и распределения электрической энергии.

По типу изоляции силовых кабелей различают:

— силовые кабели с бумажной изоляцией, в том числе пропитанные и маслонаполненные;

— силовые кабели с пластмассовой изоляцией;

— силовые кабели с резиновой изоляцией.

По величине линейного рабочего напряжения силовые кабели подразделяют на:

— кабели на напряжения 1... 10 кВ;

— кабели на напряжения 20...35 кВ;

— кабели на напряжения 110... 500 кВ.

Приведенная классификация в известной мере условна, однако позволяет систематически представить сведения о части кабелей, насчитывающей более 1000 марок и конструкций.",https://eti.su/favicon.ico,"['силовые', 'напряжения', 'и', 'различают', 'жилами', 'классификация', 'в', 'назначение', 'кабелей', 'типу', 'на', 'кабель', 'с', 'кабели']","КЛАССИФИКАЦИЯ И НАЗНАЧЕНИЕ КАБЕЛЕЙКабели по признакам материала проводящих жил передаваемой энергии или информации делят на две группы:— электрические кабели с металлическими жилами и— кабели с оптическими волокнами.
Электрические кабели с металлическими жилами классифицируют по порядку передаваемой через кабели мощности, величине напряжения, типу изоляции, назначению и т.д.
В соответствии с этим различают:— силовые кабели низкого, среднего и высокого напряжения;— силовые гибкие кабели;— кабели управления;— контрольные кабели;— низковольтные провода и шнуры;— кабели и провода связи;— радиочастотные кабели;— специальные кабели и др.
По типу изоляции силовых кабелей различают:— силовые кабели с бумажной изоляцией, в том числе пропитанные и маслонаполненные;— силовые кабели с пластмассовой изоляцией;— силовые кабели с резиновой изоляцией.
По величине линейного рабочего напряжения силовые кабели подразделяют на:— кабели на напряжения 1... 10 кВ;— кабели на напряжения 20...35 кВ;— кабели на напряжения 110... 500 кВ.",https://eti.su/articles/spravochnik-cable/spravochnik-cable_65.html,Классификация кабелей,False
