,date,text,top_image,keywords,summary,url,query,is_shop
0,,"Page link: https://mastergrad.com/forums/t175615-nekachestvennyy-kabel-ili-poddelka-wtf/



Just a moment...

Loading...

",https://mastergrad.com/favicon.ico,['moment'],,https://mastergrad.com/forums/t175615-nekachestvennyy-kabel-ili-poddelka-wtf/,Контрафакт силового кабеля в России,False
1,2017-04-25 00:00:00,"Областные предприниматели обратились в редакцию «МК-Урал» с жалобой на действия екатеринбургского поставщика кабельной продукции ООО «Кабельный Центр «Восток». У промышленников есть основания сомневаться в добросовестности указанного коммерсанта и подлинности поставляемой им продукции. Мы заинтересовались этой ситуацией, поскольку контрафактный кабель – не только проб­лема для рынка, такие подделки могут стать причиной больших аварий и привести к человеческим жертвам.

Контрафактная кабельно­-проводниковая продукция не только опасна для экономики, но и может стать причиной гибели людей

Возглавляет ООО «Кабельный Центр «Восток» некий Рамиль Юсяев, уроженец города Саранска. Оказавшись в Екатеринбурге, он устроился в крупную организацию, занимающуюся поставками кабельно-проводниковой продукции. Набравшись опыта, Рамиль Ирфанович уволился и учредил собственную фирму с похожим функционалом – ООО «Кабельный Центр «Восток», которая на данный момент находится по адресу Волховская улица, дом 20, офис 318.

Фирма с неопределенным возрастом

По данным rusprofile.ru, компания была поставлена на налоговый учет в Инспекции ФНС по Верх-Исетскому району 4 июня 2015 года. Более ранних сообщений о налоговой регистрации данной фирмы мы не обнаружили.

При этом молодая компания на своем официальном сайте заявляет: «Кабельный Центр «Восток» с 2010 года занимается оптовой реализацией кабельно-проводниковой продукции (а также муфт отечественного и импортного производства)». Так с 2015 года, как считают налоговые органы, или все-таки с 2010 года действует эта фирма? Вопрос интересный, в том числе – для надзорных органов.

Уже в июле 2016 года, судя по информации с сайта компании, ООО «КЦВ» получило несколько сертификатов дилера: от завода «Сарансккабель», Рыбинского кабельного завода, завода «ЭЛКАБ» (р.п. Белоярский) и других предприятий. Всего в разделе «Сертификаты дилерства» на сайте указаны названия семи предприятий-производителей.

В общей информации о компании, приведенной с ошибками и опечатками, сообщается дословно: «Кабельный Центр «Восток» на своих складах имеет только сертифицированную продукцию более 25 и более 8 зарубежных заводов-изготовителей кабельно-проводниковой продукции». При этом компания Юсяева с гордостью сообщает, что способна предлагать клиентам продукцию по ценам ниже заводских.

Кабель – как паленые кроссовки

Многие российские магазины до сих пор завалены контрафактной одеждой и обувью под известными брендами, несмотря на усилия надзорных органов. «Паленые» кроссовки – очень плохо, но контрафактный кабель – в десятки раз опаснее, ведь он может стать причиной крупных аварий с человеческими жертвами. Зато дешевую «ноу-нэйм» продукцию, которая часто закупается в азиатских странах, очень выгодно поставлять на российские предприятия под ярлыком известных производителей.

Представим себе типичную схему работы молодых российских предприятий, которые за считанные месяцы путем демпинга в разных регионах страны умудряются насобирать приличное количество клиентов. Возможность продавать «дешевле, чем на заводе» легко объяснима, если завод-производитель находится где-нибудь в Таиланде или Китае. Практика последних лет показывает, что оте­чественные любители создавать новый продукт, будь то футболка, кроссовки или кабель, с помощью замены бренда действуют очень просто. Чтобы представить купленный за три копейки продукт в качестве фирменной российской продукции достаточно арендовать небольшое помещение, например, на промышленной базе на ул. Бахчиванджи, поставить там простейший станок типа принтера и аккуратно нанести на кабель новую маркировку, подделав информацию о производителе и марке кабеля.

ООО «КЦВ» хвалится на сайте «широчайшим ассортиментом кабельно-проводниковой продукции со склада в г. Екатеринбурге (более 4600 позиций). Неопытный клиент может быть даже счастлив, когда редкий или эксклюзивный кабель из огромного ассортимента самопровозглашенного дилера придет в считанные дни. От радости можно даже не задать себе вопрос «Почему эксклюзив пришел так быстро?» и не заметить свежую краску на наружной оболочке кабеля. Между тем, эти детали вполне могут быть косвенными признаками контрафакта. В торговых центрах Бангкока можно легко и дешево купить одежду из новой коллекции французских модных домов раньше, чем в Париже. С кабелем на российском рынке похожая ситуация.

«Потребителями компании «Кабельный Центр «Восток» являются как российские, так и зарубежные предприятия различных отраслей промышленности: строительной, машиностроительной, нефтегазовой, металлургической, горнорудной, угольной и других…» – хвалят сами себя торговцы с улицы Волховской.

Говорят, что эти поставщики кабеля готовы работать не только с предприятиями, но и с частными клиентами, с коттеджами и даже квартирами. Частник, понятное дело, не будет разбираться в происхождении поставленной продукции. Есть и крупные клиенты. Один из уволившихся из «Востока» сотрудников, не желающий мириться с методами работы компании, рассказал, что речь может идти даже о поставках партий кабеля в крупные медицинские центры, на заводы «РТИ» и «Вектор», производящие не только гражданскую, но и оборонную продукцию.

Система гниет с кабеля

Так ли безобидна «пересортица» с кабелями? Казалось бы, все в них есть: жила из цветного металла, изоляция, внутреннее заполнение из резины, наружная оболочка из пластиката, характеристики, похожие на стандарт, например, Германии, только чуть-чуть китайские…

Как известно, в 2016 году с космодрома Восточный не смогли с первого раза запустить ракету «Союз-2.1а». В качестве причины неполадок указывали на дефекты кабеля, поставленного екатеринбургским «НПО Автоматики». Последствия этой накладки были серьезными: президент России Владимир Путин объявил выговор зампреду правительства Дмитрию Рогозину, строгий выговор – главе Роскосмоса Игорю Комарову и постановление о неполном служебном соответствии – гендиректору екатеринбургского «НПО Автоматики» Леониду Шалимову. Впоследствии господин Шалимов лишился своей должности. Строго? Да. Но, возможно, справедливо, ведь рано или поздно проблемы с простым кабелем могут привести не только к потере дорогостоящей техники, но и к гибели людей.

Рискуют ли своей репутацией руководители оборонных предприятий, закупающие кабели с подозрительно свеженькой маркировкой по ценам «ниже заводских» у непроверенных дилеров? Ставят ли такие действия под удар стратегические интересы и обороноспособность страны, может ли это в перспективе привести к катастрофе? Без сомнения. Тогда по какой причине свердловские оборонщики раз за разом проводят безальтернативные «конкурсы» и заключают контракты на поставку «перекрашенной» продукции из Китая? Возможно, кто-то на этих предприятиях материально заинтересован в «индивидуальной» работе с поставщиком контрафакта на «особых» условиях?

«Особые отношения»

«Мы гордимся качеством работы наших менеджеров, которые не подводят клиентов, ну и, естественно, нашу компанию. Каждый менеджер выстраивает со своим клиентом особые отношения, похожие на отношения заботливого друга, готового в любое время выслушать все ваши пожелания…» – говорится на сайте компании.

Чтобы понять методы работы этой фирмы, мы попытались связаться с менеджерами от имени частного предпринимателя и договориться о возможности поставок партии кабеля. Судя по всему, чуткий менеджер понял, что на пути к сделке он может раскрыть карты и «спалить контору», в результате деловыми «друзьями» мы так и не стали – контакты с нами были прекращены.

На чем же держатся подобные «особые отношения» продавца и покупателя, как добиться взаимности? Может быть, ответственный за закупки со стороны, например, некого государственного оборонного предприятия должен наладить с менеджером «дружеские отношения» с помощью откатов? Не исключено. Такой формат отношений – через коммерческий подкуп – надежнее защищает поставщика контрафактной продукции, чем прямой обман клиента.

В списке дилеров отсутствует!

Одним из крупнейших и авторитетных производителей кабеля в России является ООО «Холдинг Кабельный Альянс», объединяющее кабельные активы Уральской горно-металлургической компании. Как сообщили «МК-Урал» в отделе сбыта холдинга, сегодня на рынке много контрафактной продукции сомнительного качества, выдаваемой за кабель производства ООО «ХКА».

«Остерегайтесь подделок: недобросовестные производители выдают свою продукцию за кабели ООО «ХКА». Доля фальсифицированной продукции на кабельном рынке России стремительно растет, – отмечают в пресс-центре холдинга. – В последнее время увеличилось число случаев, когда некачественные изделия продают под маркой добросовестных заводов-изготовителей. При этом некоторые производители и продавцы предъявляют покупателю поддельный сертификат дилера продукции известных брендов, пытаясь тем самым заверить в качестве продукции».

Подлинные сертификаты имеют всего около десятка компаний, которые давно сотрудничают с «Холдингом Кабельный Альянс» и зарекомендовали себя как честные и открытые партнеры. «Выдавая сертификат, мы утверждаем, что имеем договорные отношения с той или иной организацией и на продукцию наших предприятий, которую она поставляет покупателям, распространяются все фирменные гарантии», – говорят в холдинге и предлагают ознакомиться со списком официальных дилеров, размещенном на сайте ООО «ХКА».

Мы последовали этому совету и обнаружили, что по УрФО дилерскими сертификатами ООО «ХКА» обладают всего три компании. Названия ООО «Кабельный Центр «Восток» в перечне дилеров холдинга нет. При этом ООО «КЦВ» на сайте утверждает, что официально представляет продукцию сразу трех предприятий холдинга: АО «Электрокабель» Кольчугинский завод», АО «Сибкабель», АО «Уралкабель».

Угроза жизни, здоровью, имуществу

В ООО «ХКА» поясняют, что недобросовестные изготовители кабельно-проводниковой продукции, как правило, экономят на сырье и материалах. Например, они уменьшают диаметр медной или алюминиевой токопроводящей жилы, тем самым снижая ее пропускную способность. При увеличении нагрузки на электросеть может возникнуть короткое замыкание, задымление и пожар.

В компании отмечают, что потребители тоже должны обращать внимание на качество приобретаемой кабельно-проводниковой продукции, требуя у продавца сертификат соответствия. Кроме того, на качественном кабеле должна быть четкая маркировка с указанием страны-производителя, предприятия-изготовителя, года производства и таких важных деталей, как число жил и размер сечения.

«Деятельность недобросовестных производителей может создать угрозу для жизни, здоровья и имущества людей, препятствует добросовестной конкуренции, – говорит директор по правовым и корпоративным вопросам ООО «ХКА» Богдан Дорофеев. – На наш взгляд, необходимо усилить государственный надзор, общественный контроль и ужесточить ответственность за данное правонарушение».

Сложно не согласиться с этими словами. Сегодня из-за нерадивого поставщика сгорит чья-то баня, завтра не полетит ракета, послезавтра произойдет большая катастрофа на транспорте… Очевидно, что дикий рынок кабельно-проводниковой продукции, на котором подозрительно быстро приходят к успеху «поставщики» вроде ООО «Кабельный Центр «Восток», нуждается в строгом и качественном надзоре. Пока на этом рынке хозяйничают продавцы контрафакта, экономика теряет возможности для роста, а простые граждане не получают гарантии своей безопасности.",https://static.mk.ru/upload/entities/2017/04/25/articles/facebookPicture/49/f1/62/91/d356adc30f233f42c5a68e8634a2a10f.jpg,"['промышленности', 'по', 'на', 'и', 'проводники', 'не', 'под', 'кабельный', 'в', 'угрозу', 'поддельные', 'ооо', 'безопасность', 'что', 'ставят', 'кабели', 'продукции', 'граждан', 'с']","Областные предприниматели обратились в редакцию «МК-Урал» с жалобой на действия екатеринбургского поставщика кабельной продукции ООО «Кабельный Центр «Восток».
От радости можно даже не задать себе вопрос «Почему эксклюзив пришел так быстро?» и не заметить свежую краску на наружной оболочке кабеля.
Говорят, что эти поставщики кабеля готовы работать не только с предприятиями, но и с частными клиентами, с коттеджами и даже квартирами.
Подлинные сертификаты имеют всего около десятка компаний, которые давно сотрудничают с «Холдингом Кабельный Альянс» и зарекомендовали себя как честные и открытые партнеры.
Мы последовали этому совету и обнаружили, что по УрФО дилерскими сертификатами ООО «ХКА» обладают всего три компании.",https://eburg.mk.ru/articles/2017/04/25/poddelnye-provodniki-i-kabeli-stavyat-pod-ugrozu-bezopasnost-grazhdan-i-promyshlennosti.html,Контрафакт силового кабеля в России,False
2,,"Page link: http://www.elektrokabel.ru/programs/contra/o_rabote_sektsii_%C2%ABkachestvo_kabelno-provodnikovoy_produktsii%C2%BB-3250



О работе секции «Качество кабельно-проводниковой продукции» - elektrokabel.ru

+7 (495) 911-81-50

Об ассоциации

Ассоциация электрокабель
Правление
Исполнительная дирекция
Приложения
Программы
Декларация качества
Устав
Реестр

Новости

Лента новостей
Новости отрасли
Информация
Видео
Мероприятия
Последствия использования некачественных изделий

Состав ассоциации

Предприятия ассоциации
Ассоциация в лицах
Вступление в Ассоциацию

Комитеты и секции

Комитет по вопросам борьбы с контрафактной и фальсифицированной продукцией

Состав
Деятельность

Комитет по защите внутреннего рынка, импортозамещению и кооперации

Состав
Деятельность

Секция «Телекоммуникационные кабели и кабели для передачи данных»

Состав
Деятельность

Секция «Обмоточные провода»

Состав
Деятельность

Секция «Кабели и провода энергетического назначения»

Состав
Деятельность

Секция «Кабели и провода, комплектующие для машин, оборудования и приборов»

Состав
Деятельность

Положения

Руководство и кураторы

Полезная информация

Как защитить свои права 
Библиотека 
Полезные ссылки
Мобильное приложение
Совместное заявление об этике работы на электротехническом рынке РФ в сегменте КПП
Логотип Ассоциации
Положения о награждениях Ассоциации

Контакты

		Программы		
		>

		Антиконтрафакт		
		>
		О работе секции «Качество кабельно-проводниковой продукции»

О работе секции «Качество кабельно-проводниковой продукции»

Защита отечественного рынка от некачественной продукции – одна из основных задач, стоящих перед Ассоциацией «Электрокабель». В «Декларации качества», принятой всеми участниками Ассоциации, говорится: «Качество продукции должно являться ключевым понятием в деятельности наших предприятий не только в сфере производства, но и в этике поведения внутри Ассоциации и на рынке».Необходимость принятия действенных мер в этом направлении диктуется продолжающимся присутствием на рынке (особенно потребительском) значительного количества контрафактной и фальсифицированной кабельной продукции.Контрафактная продукция – продукция, выпущенная с неправомочным размещением на ней (подделкой) товарных фирменных знаков в целях введения потребителей в заблуждение. Ответственность за выпуск и реализацию контрафактной продукции предусмотрена Гражданским и уголовным Кодексами.Сейчас наблюдаются различные манипуляции с маркировкой продукции, использованием недостоверных обозначений изготовителей продукции.Фальсифицированная продукция – продукция, характеристики которой не соответствуют установленным к ней требованиям (например, ГОСТ или ТУ), информация о которой является неполной или недостоверной и искажается преднамеренно с корыстной целью.Изготовление подделок часто сопровождается фальсификацией, но в принципе фальсификатом может быть не только контрафактная, но и оригинальная продукция.Подделка может проявиться в искажении информации о свойствах товара или услуги. В этом случае мы имеем дело с фальсификатом, когда производитель или продавец намеренно вводят покупателя в заблуждение относительно настоящих свойств реализуемого товара, будь то качество продукции, ее состав или срок службы. Фальсификат может производиться как на легальной, так и на нелегальной основе. Основное отличие фальсификата от остальных видов подделок заключается в том, что здесь целенаправленно нарушаются права потребителей и не нарушаются права других хозяйствующих субъектов.Для противодействия последствиям, вызванным действиями недобросовестных поставщиков на рынке кабельной продукции, по решению общего собрания участников Ассоциации «Электрокабель» в 2008 г. была организована секция «Качество кабельно-проводниковой продукции».В состав секции входят председатель (Г.Г.Свалов), ученый секретарь (Г.К.Хромова) и 10 руководителей предприятий Ассоциации (Д.В.Пташинский, Н.С.Куприянов, С.В.Ситько, В.Ю.Чайко, И.СШайнога, А.И.Ройх, Д.Ю.Васечко, Т.Г.Изюмова, В.Г.Савченко, В.Ф.Ключников).В течение 2008 – 2011г.г. было проведено 10 заседаний секции. Результаты ее работы регулярно рассматриваются на заседаниях правления и общих собраниях членов Ассоциации.Образована рабочая группа Секции, составленная из специалистов ВНИИКП. В 2010 г. эта группа осуществляла взаимодействие с надзорными органами (Росстандарт, Роспотребнадзор, МВД РФ) по вопросам фальсифицированной кабельной продукции, выявленной на рынке:• продукции, заведомо изготовленной с отступлением от ГОСТ и ТУ;• продукции, продаваемой с сертификатами, в которых указаны недостоверные сведения.С помощью надзорных органов уже удалось привлечь ряд продавцов и изготовителей к административной ответственности за изготовление фальсифицированной продукции. Руководитель и рабочая группа Секции инициировали обсуждение в Росстандарте вопроса о выполнении решения Заседания Отраслевого совета по работе органов по сертификации и испытательных лабораторий и их проверок с участием специалистов кабельной промышленности. Рабочей группой были представлены документы о конкретных грубых нарушениях при сертификации. Руководители Росстандарта согласились с представленными замечаниями и подтвердили возможность участия специалистов по кабельной продукции в 2011 г. в инспекционном контроле органов по сертификации и испытательных лабораторий по кабельной продукции. Перечни органов по сертификации и испытательных лабораторий, допускающих нарушения, уточнены и переданы в Росстандарт. Для ряда органов и лабораторий Росстандарт исключил из их области аккредитации кабельные изделия. В ноябре 2010 г. Секция обратилась в Росстандарт с просьбой опубликовать информационное письмо об идентификации проводов типа ПУНП при сертификации с целью довести до органов по сертификации однозначное мнение Росстандарта о том, что провода ПУНП должны проходить обязательную сертификацию, т.е. соответствовать стандартам. Из письма следует, что провода ПУНП, как силовые провода, по каким бы ТУ они не изготавливались, должны проходить процедуру обязательной сертификации по требованиям безопасности, в соответствии с ФЗ «О техническом регулировании». Информационное письмо было размещено на официальном сайте Росстандарта и разослано Секцией:• в 75 органов по сертификации кабельной продукции;• в надзорные органы (7 межрегиональных территориальных управлений Росстандарта и в Управление по защите прав потребителей Роспотребнадзора);• в Ассоциацию «Росэлектромонтаж»;• в департамент экономической безопасности МВД России, сотрудники которого занимаются в настоящее время нарушениями на рынке кабельной продукции.Секция направила также письма в органы по сертификации с обращением об аннулировании двух пожарных сертификатов, выданных на провода ПУНП. Эти сертификаты были выявлены при анализе около трех тысяч пожарных сертификатов, выданных на кабельную продукцию, и размещенных в реестре Росстандарта. Один сертификат был аннулирован немедленно, у другого срок действия истекает в ближайшее время.Секция установила взаимодействие с органами Министерства внутренних дел РФ. В соответствии с запросом этого министерства в августе 2010 года испытательным центром ВНИИКП были проведены испытания 8 образцов провода ПВС, изготовленных ООО «Дмитров-кабель» и представленных МВД РФ, на соответствие требованиям ГОСТ 7399-97.Результаты испытаний показали, что представленные образцы не соответствуют требованиям ГОСТ. Например, образцы провода ПВС 4х4 не соответствовали ГОСТ по сечению, классу жилы, коэффициенту эксцентриситета изоляции, маркировке по оболочке, маркировке на ярлыке. В соответствие с запросом МВД ВНИИКП подготовил также экспертное заключение по отрицательным результатам испытаний образцов проводов марок ПУНПм, ПУГНПм и АПУНПм, изготовленных ООО «Дмитров-кабель». В настоящее в МВД РФ ведется работа по пресечению нарушения требований стандартов этим изготовителем; рассматривается информация по другим предприятиям. Секция продолжала взаимодействовать с Роспотребнадзором. По материалам, представленным Секцией, Роспотребнадзор разослал в региональные управления защиты прав потребителей информацию об опасных проводах ПУНП. Велась переписка с управлениями Роспотребнадзора по Москве, Санкт-Петербургу, Московской и Иркутской областям. В Управление по Санкт-Петербургу было направлено повторное письмо, так как полученный от них ответ являлся фактически отказом от принятия мер. По рекомендации Роспотребнадзора о выявлении, секцией были направлены письма заводам Ассоциации «Электрокабель»с информацией о конкретных адресах нарушителей, поставляющих опасные провода, и рекомендацией выявлять в регионах производителей и дилеров, реализующих провода ПУНП, и направлять их адреса в Территориальные отделы по защите прав потребителей.По результатам анализа динамики объемов производства проводов бытового назначения в 2010 году наблюдалось полное прекращение производства проводов ПУНП подавляющим большинством российских заводов Ассоциации «Электрокабель»; единственным их производителем остался завод «Сарансккабель».В декабре 2009 г. было подписано соглашение о сотрудничестве между ассоциациями «Электрокабель» и «Росэлектромонтаж». Одним из основных направлений сотрудничества была признана совместная работа по предупреждению применения кабельной продукции, не соответствующей требованиям по электробезопасности и пожарной безопасности. В рамках этого соглашения рабочая группа Секции в ноябре 2010 года подготовила и направила в «Росэлектромонтаж» с целью информирования организаций, входящих в эту Ассоциацию, перечень кабельных заводов, продукция которых была выявлена как несоответствующая, и у которых нет необходимой системы обеспечения качества. При подготовке такого перечня использовалась информация, полученная Секцией от надзорных органов. Еще одним направлением деятельности Секции является экспертиза сертификатов соответствия на кабельную продукцию. Для иллюстрации результатов этой работы можно привести несколько примеров.Анализ сертификата, выданного в ноябре 2009 г. ООО «Центр сертификации и качества ПЕРМЬ-СТАНДАРТ-ТЕСТ» на «Кабели силовые с пластмассовой изоляцией для облегченных условий эксплуатации» на напряжение 0,66 кВ марок ВВГ, ВВГ-П, АВВГ, АВВГ-П различных сечений, показал, что при сертификации не подтверждены требования безопасности ГОСТ 16442-80. Были проведены консультации и даны разъяснения эксперту органа по сертификации «ПЕРМЬ-СТАНДАРТ-ТЕСТ» о том, что кабели силовые для облегченных условий эксплуатации не могут иметь стандартную маркировку, так как она вводит потребителей в заблуждение. По сообщению эксперта данный сертификат аннулирован.В сентябре 2010 г. во ВНИИКП обратился ОАО «Балткран» с целью экспертизы документации, предназначенной для Белоярской АЭС. По результатам анализа выявлено 2 сертификата, выданных с грубейшими нарушениями при сертификации. Было направлено письмо в Росстандарт с копиями сертификатов и протоколов, выданных органом по сертификации АНО «Академмаш» и испытательным центром «Академсиб», с просьбой снятия аккредитации в части кабельной продукции с ИЦ «Академсиб» и отзыва сертификатов соответствия. Ниже в качестве примера приводится один из этих протоколов. Подтверждение соответствия кабеля должно было быть проведено по всем требованиям ГОСТ Р МЭК 60245 (а их больше десяти); вместо этого мы видим три показателя, один из которых «Номинальное напряжение» (как это испытание проведено, оставим на совести «Академсиб»).Позже в Росстандарте и ВНИИНМАШ оценка ВНИИКП была поддержана.Одной из самых действенных мер по противодействию поступлению на рынок контрафактной и фальсифицированной кабельной продукции является систематическое информирование участников рынка об изготовителях и поставщиках такой продукции.Рабочая группа Секции обратилась на телеканал «Россия 24» с предложением показать телесюжет о некачественных кабельных изделиях. Ролик был снят во ВНИИКП; видеорепортаж был показан в октябре 2010 г. на телеканале «Россия 24» в программе «Вести. Энергетика», а затем продемонстрирован на общем собрании Ассоциации «Электрокабель» в декабре 2010 г.Секция планирует продолжить информирование участников рынка о борьбе с несоответствующей продукцией и контрафактом в СМИ, связанных с энергетикой, строительством, электромонтажом, а также в журналах «Кабели и провода» и «Кабель-news».Продолжается переписка с дилерами по кабельной продукции и их консультирование по вопросам сертификатов соответствия и производителей некачественной кабельной продукции.В декабре 2010 г. подписано Соглашение о сотрудничестве между Ассоциацией «Электрокабель», ОАО «ВНИИКП» и медиа-холдингом «РусКабель», которое предусматривает совместную работу по выявлению и освещению в печатных и электронных СМИ случаев присутствия на рынке контрафактной кабельной продукции и продукции, не соответствующей установленным нормам и требованиям.Секция подготовила рекомендации о размещении информации о несоответствующей продукции на сайте Ассоциации «Электрокабель».После обсуждения складывающейся на рынке ситуации с нарушениями при изготовлении, сертификации и реализации кабельной продукции и анализа роли участников рынка (изготовителей, органов по сертификации, дилеров и др.) был разработан и в июне 2011 г. утвержден план дальнейшей работы секции «Качество кабельно-проводниковой продукции». План предусматривает расширение круга организаций, привлекаемых Ассоциацией «Электрокабель» к работам по противодействию поступлению на рынок некачественной продукции, в том числе контрафактной и фальсифицированной, а также изучение зарубежного опыта в решении аналогичных вопросов.

Об ассоциации
Новости
Предприятия ассоциации
Программы
Контакты

Россия, 111024, г. Москва, Шоссе Энтузиастов, д. 5
Тел/факс: 8 (495) 911-81-50
info@elektrokabel.ru

©2004-2021 НП ""Ассоциация Электрокабель""
Все права защещины

Использование любой информации, размещенной на сайте www.elektrokabel.ru
разрешается исключительно с писменного согласия владельцев сайта.

Данный сайт носит исключительно информационный характер и не является 
публичной офертой, определяемой положениями Статьи 437 Гражданского Кодекса
Российской Федерации 

zzz

",http://www.elektrokabel.ru/favicon.ico,"['работе', 'секции', 'продукции', 'о', 'кабельнопроводниковой', 'качество']",,http://www.elektrokabel.ru/programs/contra/o_rabote_sektsii_%C2%ABkachestvo_kabelno-provodnikovoy_produktsii%C2%BB-3250,Контрафакт силового кабеля в России,False
