,org_activity,name,address,director,main_org,OGRN,INN,date
0,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Электрокабель""","607675, Нижегородская область, Кстовский район, село Безводное, (оао бмз)",Вшивцев Константин Николаевич,-,1025201991264,5250026064,1 сентября 2000 г.
1,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Сарансккабель»,"430001, Республика Мордовия, г. Саранск, Строительная ул., д.3",Абаев Рашид Рафикович,-,1047855154489,7810014283,2 декабря 2004 г.
2,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Энергокабель»,"142455, обл. Московская, г. Ногинск, Полевая ул., д. 10",Савенкова Валентина Григорьевна,-,1025003917179,5031043645,8 декабря 2000 г.
3,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Иркутсккабель»,"666033, Иркутская область, г. Шелехов, Индустриальная ул., д.1",Першина Екатерина Витальевна,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""УНКОМТЕХ""",1023802256015,3821000937,7 июня 1996 г.
4,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«НП «ПОДОЛЬСККАБЕЛЬ»,"142103, Московская область, город Подольск, Бронницкая улица, дом 11",Громов Михаил Николаевич,-,1025004706825,5036002480,13 октября 1992 г.
5,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«ЭЛЕКТРОКАБЕЛЬ»,"607675, Нижегородская область, Кстовский район, село Безводное, (оао бмз)",Вшивцев Константин Николаевич,-,1025201991264,5250026064,1 сентября 2000 г.
6,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Томсккабель""","634059, Томская область, г. Томск, ул. Смирнова, д.3",-,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТИЦИОННАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",1127017015773,7017307579,24 мая 2012 г.
7,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Кабельный завод «ЭКСПЕРТ-КАБЕЛЬ»,"302209, Орловская область, Орловский район, сельское поселение Платоновское, Раздольная улица, дом 105, помещение 14а",Кутенев Сергей Николаевич,-,1147746316959,7743920794,24 марта 2014 г.
8,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,"""Кабельный завод ""АЛЮР""","182115, Псковская область, город Великие Луки, улица Гоголя, дом 3 б",Бобров Алексей Петрович,-,1026000899100,6025013482,5 апреля 1996 г.
9,27.32 Производство прочих проводов и кабелей для электронного и электрического оборудования,«Цветлит»,"430006, Республика Мордовия, город Саранск, Александровское шоссе, дом 22, кабинет 23",-,-,1191326002130,1327034176,27 марта 2019 г.
10,27.31 Производство волоконно-оптических кабелей,"""Белтелекабель""","140200, Московская область, Воскресенск город, улица Гиганта, дом 13",-,-,1205000089029,5005069238,6 октября 2020 г.
