year,month,close
2017,05,5649.75
2017,06,5812.25
2017,07,6089.0
2017,08,6612.0
2017,09,6534.5
2017,10,6846.6
2017,11,6858.25
2017,12,6996.2
2018,01,7080.0
2018,02,6987.5
2018,03,6806.0
2018,04,6843.8
2018,05,6874.5
2018,06,6933.25
2018,07,6216.8
2018,08,6033.25
2018,09,6111.8
2018,10,6247.25
2018,11,6160.5
2018,12,6036.6
2019,01,6056.25
2019,02,6333.75
2019,03,6402.8
2019,04,6400.75
2019,05,5996.0
2019,06,5889.8
2019,07,5927.25
2019,08,5700.0
2019,09,5795.6
2019,10,5847.25
2019,11,5872.75
2019,12,6138.6
2020,01,5985.5
2020,02,5693.25
2020,03,5086.2
2020,04,5130.5
2020,05,5363.6
2020,06,5899.0
2020,07,6423.875
2020,08,6498.9
2020,09,6665.25
2020,10,6773.25
2020,11,7290.6
2020,12,7844.625
2021,01,7977.3
2021,02,8813.375
2021,03,8976.125
2021,04,9371.875
2021,05,10155.7
2021,06,9481.0
2021,07,9547.0
2021,08,9389.4
2021,09,9371.5
2021,10,9667.0
2021,11,9594.0
