,date,text,top_image,keywords,summary,url,query,is_shop
0,,"Page link: https://kabel-s.ru/company/news/krizis_kabelnoy_promyshlennostyu_posle_pandemii_covid_19/



Кризис кабельной промышленностью после пандемии COVID-19

Ваш город

Санкт-Петербург 

info@kabel-s.ru

Работаем круглосуточно

8 (812) 309-72-55

8 (800) 555-88-72

Заказать звонок

																		Каталог									

Кабель силовой

Кабель управления и контроля

Кабель судовой

Кабель монтажный

Кабель передачи данных

Кабель греющий

Провода

Электротехнические товары

																		Акции									

																		Инфо									

Статьи о кабеле

Вопрос-ответ по кабелю

Калькулятор веса кабеля

Калькулятор сечения кабеля

Производители кабеля

Партнерство

																		Доставка и оплата									

																		О компании									

Склады

Новости

Сотрудники

Сертификаты

Отзывы

Документы и реквизиты

Объекты наших клиентов

Вопросы по работе компании

																		Контакты									

Филиалы

Ещё

																		Каталог									

Кабель силовой

Кабель управления и контроля

Кабель судовой

Кабель монтажный

Кабель передачи данных

Кабель греющий

Провода

Электротехнические товары

																		Акции									

																		Инфо									

Статьи о кабеле

Вопрос-ответ по кабелю

Калькулятор веса кабеля

Калькулятор сечения кабеля

Производители кабеля

Партнерство

																		Доставка и оплата									

																		О компании									

Склады

Новости

Сотрудники

Сертификаты

Отзывы

Документы и реквизиты

Объекты наших клиентов

Вопросы по работе компании

																		Контакты									

Филиалы

Ещё

Каталог

Назад
Каталог

Кабель силовой

Кабель управления и контроля

Кабель судовой

Кабель монтажный

Кабель передачи данных

Кабель греющий

Провода

Электротехнические товары

Акции

Инфо

Назад
Инфо

Статьи о кабеле

Вопрос-ответ по кабелю

Калькулятор веса кабеля

Калькулятор сечения кабеля

Производители кабеля

Партнерство

Доставка и оплата

О компании

Назад
О компании

Склады

Новости

Сотрудники

Сертификаты

Отзывы

Документы и реквизиты

Объекты наших клиентов

Вопросы по работе компании

Контакты

Назад
Контакты

Филиалы

8 (812) 309-72-55

Назад
Телефоны
8 (812) 309-72-55
8 (800) 555-88-72
Заказать звонок

Контактная информация

						Санкт-Петербург, 196158, Московское шоссе, д. 42, корпус 2, лит. А, офис 315					

info@kabel-s.ru 

					Вконтакте				

					Twitter				

					Instagram				

Главная-О компании-Новости-Кризис кабельной промышленностью после пандемии COVID-19Кризис кабельной промышленностью после пандемии COVID-19 

17 Июля 2020

CОДЕРЖАНИЕ

Влияние падения ВВП
Влияние цен на нефть
Влияние курса рубля
Влияние отраслевых изменений 
		 4.1. Нефтегазовая отрасль 
		 4.2. Электроэнергетика и теплоснабжение 
		 4.3. Промышленный сектор
		 4.4.Строительная отрасль
Положительные последствия пандемии для кабельной промышленности 
		 5.1. Снижение доли импортного кабеля
		 5.2. Отложенный спрос
Выводы

	 Состояние кабельной промышленность зависит напрямую от других экономических показателей и отраслей экономики. Пандемия COVID-19 затронула практически все структуры экономики и уже привела к некоторым промежуточным итогам и прогнозам.

Влияние падения ВВП

	 Согласно майскому прогнозу Министерства Экономического Развития, экономика России по итогам 2020 года упадет на 5%, а самым провальным станет второй квартал, по его итогам спад составит 9,5% в годовом выражении. Минэкономразвития прогнозирует, что промышленное производство в стране в 2020 году упадет на 5,4%, инфляция будет на уровне 4%. Прогноз подготовлен в условиях высокой неопределенности из-за непредсказуемости снятия карантинных мер, поэтому министерство уточнит его параметры в августе - сентябре.

	 Исходя из такого прогноза кабельную промышленность также ожидает спад. Обычно график изменений объемов производства в кабельной отрасли похож на график изменения ВВП.

Динамика ВВП 2019-2020гг

Влияние цен на нефть

	 Влияние COVID-19 на кабельную отрасль России гораздо сильнее, чем на кабельные отрасли в других странах мира. Это объясняется сильной зависимостью экономики России от мировых цен на нефть. И основным драйвером роста рынка в целом у нас являются мировые цены на нефть и газ. Падение спроса на нефтепродукты в связи с пандемией и снижение цен, а также ценовые войны приводят к дефициту госбюджета, а соответственно к уменьшению инвестиционнных программ во всех секторах экономики. 

	 Правительство РФ надеется, что рост спроса на нефтепродукты будет, но это возможно при восстановлении промышленного производства и возобновлении всех видов перевозок между странами.

Динамика цен на нефть марки Brent

Дефицит бюджета и уменьшение государственных заказов во многих отраслях приведет к прямому снижению заказов и на кабельную продукцию.

Влияние курса рубля

	 Курс иностранных валют к рублю сильно зависит от цен на нефть, которые, несмотря на достигнутые ОПЕК+ новые договоренности, ожидаемо будут находиться на низких отметках, как минимум, до осени или до конца года. Соответственно и курс рубля по отношению к мировым валютам будет оставаться на текущем низком уровне. Это будет способствовать стремительному удорожанию материалов, стоимость многих из которых привязана к курсу доллара.

	 Цены на КПП на 80-90% зависят от ситуации на рынке меди и от курса валют.

Доля импортных материалов и оборудования при производстве кабеля также продолжает оставаться достаточно высокой, что в совокупности с курсом рубля приводит к удорожанию продукции при падающем спросе.

Влияние отраслевых изменений

	 Большая часть спроса на кабельную продукцию приходится на 4 отрасли: энергетику, горнодобывающую, нефтегазовую промышленность и строительство.

	 Проанализируем, что происходит, в каждой из отраслей и попробуем сделать выводы, как это повлияет на кабельную промышленность.

Нефтегазовая отрасль

	 Падение спроса на нефть из-за распространения COVID-19 и введения ограничительных мер для борьбы с ним в сочетании с жесткой ценовой войной между производителями привели к тяжелейшим последствиям для нефтяных рынков. Сокращение спроса на нефть при избытке ее предложения привело к колоссальному дисбалансу, что вызвало рекордное падение цен.

	 Масштаб сокращения добычи нефти и падения денежных потоков компаний неизбежно приведет к уменьшению бюджетов и пересмотру инвестиционных программ внутри добывающих компаний, в частности в геологоразведку, сокращению заказов для смежных отраслей.

	 Для России сложившаяся на нефтяном рынке ситуация означает радикальное сокращение доходов от экспорта – как выручки компаний, так и бюджетных поступлений. Даже в самом оптимистичном сценарии доходы от экспорта нефти снизятся в два с половиной раза по сравнению с докризисным сценарием.

Сценарии развития событий российского экспорта сырой нефти

Для кабельной отрасли негативное влияние в нефтегазовой отрасли приведет к снижению спецзаказов на кабели для нефтяной промышленности. Сократится спрос и выпуск нефтепогружных кабелей, кабелей питания оборудования для добычи нефти (например, электробуров),кабелей для электрообогрева нефтедобывающего оборудования, кабелей управления и передачи сигналов, кабелей для эксплуатации в сложных условиях и т.д. В связи со снижением инвестиционных программ на геофизические исследований – упадет спрос на геофизические кабели.

Электроэнергетика и теплоснабжение

	 По данным Минэнерго России, наибольшее снижение потребления электроэнергии пришлось на сектора машиностроения, металлургии, железнодорожного транспорта, а также на различные предприятия малого и среднего бизнеса. Компании, эксперты и ведомства дают различные прогнозы по изменению объемов спроса и цен на электроэнергию по итогам 2020 года, но большинство ожидают их снижения не менее чем на 3%.

	 В России не наблюдается существенно падения спроса и цен на электроэнергию. Основная угроза для энергокомпаний – не падение спроса, а риск резкого снижения выручки из-за неплатежей.

	 Сложившаяся ситуация потребует серьезных изменений инвестиционной деятельности в электроэнергетике и теплоснабжении, чтобы избежать усугубления и без того тяжелого финансового положения потребителей и одновременно снизить нагрузку на энергокомпании, сталкивающихся с растущими неплатежами. В долгосрочной перспективе существенных изменений в энергобалансе пока не предвидится, и вероятным сценарием становится сокращение инвестпрограмм большинства энергокомпаний в условиях падения выручки и роста неплатежей.

Для кабельной отрасли это отразится незначительным снижением спроса на кабельную продукцию, но вероятнее всего приведет к снижению запросов на новые разработки и исследования.

Промышленный сектор

	 По прогнозу Минэкономразвития, спад в промышленности в 2020 году составит 5,2%, по прогнозу Минпромторга — 8,6%. Самым тяжелым для российской экономики будет второй квартал, во второй половине года ожидается постепенное восстановление динамики, отмечает аналитики.

	 Наиболее пострадавшие отрасли вследствие пандемии - производители потребительских товаров длительного пользования и транспортное машиностроение. 
	 Минпромторг РФ прогнозирует снижение производства автомобилей в России в 2020 году минимум на 15%.

Список отраслей, наиболее пострадавших от пандемии

	 Наиболее вероятным является сценарий V-образного восстановления отраслей, при котором возможен рост промышленности около 5% уже в 2021 году.

Для кабельной отрасли значительное снижение производства в автомобильном секторе уменьшит спрос на автомобильные провода.

Строительная отрасль

	 Коронавирус не оказал на российскую строительную отрасль такого же разрушительного воздействия как, например, на туризм или сферу услуг. Однако, учитывая негативное влияние карантинных мер и отрицательных макроэкономических последствий пандемии, уже в среднесрочной перспективе индустрию ожидают довольно пессимистичные перспективы. Это связано, главным образом, с тем, что строительство в России не относится к особо пострадавшим от коронавируса отраслям и на фоне этого не получает прямой поддержки (только косвенную и в основном в сфере жилищного строительства). Однако различные негативные эффекты (физические карантинные ограничения, снижение спроса на фоне падения платежеспособности потенциальных покупателей и роста безработицы, дефицит бюджетных средств и пр.) создают предпосылки для довольного сильного и главное продолжительного спада строительной отрасли.

	 Финансовый ущерб строительной отрасли в 2020 году в России может составить порядка 10 процентов.

Положительные последствия пандемии для кабельной промышленности

Снижение доли импортного кабеля

	 Несмотря на общую отрицательную тенденцию для кабельной отрасли для некоторых узкосегментированных кабельных производителей пандемия принесла и положительные результаты. Это касается сегментов кабельного производства, в которых была высокая доля импортного кабеля китайского происхождения, в частности среди кабелей для электронной промышленности, Lan-кабелей. В связи с закрытием границ в период пандемии заказчики были вынуждены перестраивать свои логистические цепочки и обращаться к отечественным производителям.

	 По экспертным оценкам доля импортной кабельной продукции на российском рынке занимает порядка 22-25%, по некоторым видам продукции более 40%.

Отложенный спрос

	 По прогнозам Минэкономразвития активная фаза восстановления экономики начнется в четвертом квартале после снятия ограничительных мер в августе-сентябре и продолжится в 2021 году. В последующие годы экономика России будет расти на 2,8% в 2021 году, 3% в 2022 году и 3,1% в 2023 году. В связи с оживлением экономики можно прогнозировать и рост в кабельном секторе, начиная с 4-го квартала.

Вывод: Даже при относительно оптимистичных прогнозах развития событий для экономики России, кабельную отрасль ожидает во 2-м и 3-м квартале существенный спад спроса на продукцию, а также очередной рост цен на конечный продукт для потребителей. Восстановительные процессы в отрасли ожидаются с начала 4-го квартала

			 Нужен кабель? 
			 Отправьте заявку он-лайн или позвоните по бесплатному номеру 8 (800) 555-88-72

Отправить заявку

Источники

Минэкономразвития оценило влияние пандемии COVID-19 на экономику России 
Электроэнергетика: влияние пандемии COVID-19
Коронакризис: влияние COVID-19 на ТЭК в мире и в России 
COVID помог петербургской компании потеснить конкурентов из Китая
Экономические последствия пандемии ""COVID-19"" для России

					Наши менеджеры ответят на любой вопрос по кабельной продукции				

Задать вопрос

Назад к списку

Компания

Склады

Новости

Сотрудники

Сертификаты

Отзывы

Наши клиенты

Акции

Контакты

Филиалы

Каталог

Кабель силовой

Кабель управления и контроля

Кабель судовой

Кабель монтажный

Кабель связи

Кабель передачи данных

Кабель греющий

Провода

Электротехнические товары

Справочная информация

Документы и реквизиты

Вопрос-ответ по работе компании

Задать вопрос по кабелю

Производители кабеля

Пользовательское соглашение

Статьи о кабеле

Спецпредложения

Наши контакты 

8 (812) 309-72-55

8 (800) 555-88-72

info@kabel-s.ru 

						Санкт-Петербург, 196158, Московское шоссе, д. 42, корпус 2, лит. А, офис 315					

2021 © Комплексные поставки электротехнической продукции. Цены и наличие указанные на сайте не являются публичной офертой.

					Вконтакте				

					Twitter				

					Instagram				

Найти

0

0

Корзина

",https://kabel-s.ru:443/upload/CNext/832/832188e2c37152e56ca6f4c05f2a7ff8.svg,"['covid19', 'кризис', 'после', 'кабельной', 'промышленностью', 'пандемии']",,https://kabel-s.ru/company/news/krizis_kabelnoy_promyshlennostyu_posle_pandemii_covid_19/,Распределение спроса кабельной продукции по странам,False
1,,"Дата: 29.05.2014

Рынок кабельной продукции достаточно динамичен в настоящее время. В период за 2000-2006 гг. объемы производства в этой отрасли демонстрировали рост в среднем на 7-12% в год, а в 2007 году увеличение объема по весу меди составило более 10%.

Среди кабелей можно выделить наиболее динамично растущие сегменты – это силовые кабели гибкие (среднегодовые темпы роста в последние годы на уровне 27%) и силовые кабели высоковольтные (темпы роста 32%).

Столь интенсивное увеличение объясняется следующими причинами:

Переход российской электроэнергетики на силовые кабели с изоляцией из сшитого полиэтилена, а также на самонесущие провода воздушных линий передачи электроэнергии.

с изоляцией из сшитого полиэтилена, а также на самонесущие провода воздушных линий передачи электроэнергии. Реконструкция и расширение существующих сетей по передаче электроэнергии, что является стимулом к росту потребления более мощных кабелей (свыше 20-30 кВ).

Увеличение темпов строительства распределительных сетей и рост потребностей в проводах для линий электропередачи (при этом планируется переход на изолированные провода).

Всего в России более сотни кабельных производств, выпускающих различные виды кабельной продукции. Крупных заводов, входящих в отраслевую Ассоциацию «Электрокабель» – 85.

Учитывая специализацию производителей на разных видах продукции, концентрация производства в отрасли незначительная, однако, на 12 самых крупных производителей кабельной продукции приходится до 80% от общих объемов производства.

Среди крупнейших предприятий по переработке меди можно выделить:

ОАО «Иркутсккабель», «Кирскабель», ОАО «Камкабель», ЗАО «Москабель», ОАО «Севкабель», ЗАО «Завод «Людиновокабель», ОАО «Завод «Сарансккабель» (рис. 8).

Среди предприятий-лидеров по переработке алюминия выделяются:

ОАО «Электрокабель», ОАО «Камкабель», ЗАО «Москабель», ЗАО «Самарская кабельная компания», ЗАО «Сибкабель», ЗАО НП «Подольсккабель».

Рис. 1. Структура рынка кабельной продукции по производителям, Россия и СНГ 2007 г.

Среди всех заводов-производителей выделяются четыре крупных игрока на рынке кабельно-проводниковой продукции: ОАО «Иркутсккабель», «Кирскабель», ОАО «Камкабель» и ОАО «Электрокабель» Кольчугинский завод», обороты которых по результатам 2007 года превышают 10 миллиардов рублей, и около 12-15 предприятий, объемы продаж которых составляют 80-85% всего производства кабеля в России.

Исследование рынка кабельной продукции России показывают, что объем потребления в настоящий момент оценивается в 6 млрд. долларов. В целом на рынке России отечественные производители занимают порядка 60%, а остальное – импорт. И главная задача отечественных производителей на данный момент обеспечить полное импортозамещение. Для достижения поставленной цели делается всё необходимое: предприятия закупают самое современное оборудование западных производителей, на всех российских заводах реализуются крупные инвестиционные программы, ведется активная модернизация оборудования. Например, на предприятиях ОАО «Севкабель» на 90% заменили все оборудование на новое. Это надежные линии, которые могут эксплуатироваться десятками лет.

Если загрузить отечественные кабельные заводы на 100%, то вполне можно обеспечить потребность России и СНГ в кабеле, который соответствует всем европейским параметрам, так как оборудование, установленное на отечественных предприятиях, то же самое, что и на Западе, а технологии производства – ничуть не хуже. Можно с уверенностью заявить, что отечественная кабельная промышленность удовлетворяет потребности российского рынка по большинству позиций. В частности, кабельные заводы России и СНГ практически закрывают спрос по самонесущим изолированным проводам, на волоконно-оптический кабель и обмоточные провода.

Сейчас в России нет ни одного кабельного завода, у которого больше 30% продукции идет на экспорт. Экспортируются только отдельные виды изделия, от общего объема производства российских предприятий эта доля составляет не более 20%.

Динамику экспорта из России основных номенклатурных групп кабельно-проводниковой продукции за период первого-второго квартала 2008 г. нельзя считать положительной. (Рис. 9-12) Несмотря на то, что объем экспортных продаж по всем номенклатурным группам увеличился, темп пророста в основном сократился, за исключением одной номенклатурной группы: силовой кабель на напряжение до 1 кВ.

Согласно исследованию рынка кабельной продукции динамика импорта явно выигрывает в сравнении с экспортом из России КПП. Например, при сравнении объема продаж КПП по самой дорогостоящей номенклатурной группе «силовой кабель на напряжение 1 кВ и выше» можно сделать вывод, что наша страна больше покупает, чем продает.

Рис.2. Объем экспортных продаж кабельно-проводниковой продукции за I-II кв. 2008г. (в тыс. $)

Рис. 3. Темп прироста экспортных продаж кабельно-проводниковой продукции за I-II кв. 2008г. (в %)

Рис. 4. Объем импортных поставок кабельно-проводниковой продукции за I-II кв. 2008г. (в тыс. $)

Рис. 5. Темп прироста импортных поставок кабельно-проводниковой продукции за I-II кв. 2008г. (в %)

Разница в цене продукции российского и зарубежного производства в среднем составляет 10–20% и зависит от напряжения кабеля – чем оно выше, тем больше разрыв. Ценовая политика российских заводов более гибкая, чем у западных предприятий. При этом разница по уровню цен на кабельную продукцию отечественных и зарубежных предприятий незначительна. Западные компании, конечно, стараются подстраиваться под отечественных производителей, но им это очень невыгодно.

На Западе есть преференции при экспорте. При поставке на экспорт в развивающиеся страны им государство помимо возвращения НДС компенсирует 25% от стоимости продукции. У нас, к сожалению, этого нет.

Кроме того, для производства конечной продукции и российские, и зарубежные заводы приобретают сырье по одинаковым ценам. Отечественные производители закупают медь, алюминий и другие цветные металлы у российских же поставщиков по ценам, установленным на лондонской бирже.

Немаловажным вопросом является существующий уровень российских стандартов. Российские ГОСТы и ОСТы – узконаправленные. Они были разработаны для применения только в России, и с ними отечественные заводы не могут выйти ни на один зарубежный рынок, даже стран СНГ. Сегодня все страны переходят на европейские и мировые стандарты. И в кабельной отрасли все направлено на то, чтобы российские нормы перевести на язык, который понимают во всем мире. Именно поэтому составляются переводные таблицы, для того чтобы можно было, сравнивая ГОСТы, ОСТы и европейский стандарт, подбирать ту или иную продукцию для нужд энергетики. Крупные заводы делают это своими силами, более мелкие – через ВНИИКП (Всероссийский научно – исследовательский, проектно – конструкторский и технологический институт кабельной промышленности).

Зачастую один и тот же кабель имеет по евростандарту одно обозначение, а по ГОСТу – совершенно другое. Не совпадает количество их технических характеристик. Вплоть до того, что при сравнении можно решить, что это не один кабель, а два совершенно разных изделия.

Другая проблема, с которой сталкивается потребитель на российском рынке кабельно-проводниковой продукции – это неофициальные поставки КПП. Кабель идет в страну по «серым» схемам и не по соответствующим кодам ТНВЭД. Так, например, зачастую бывают ситуации, когда по коду ТНВЭД под видом радиочастотного кабеля ввозится высоковольтный. Тогда как пошлина на один составляет 5%, а на другой – 10–15%. И, к сожалению, не каждый сотрудник таможенных органов может правильно определить вид кабеля, чтобы противодействовать нарушению.

Ассоциация кабельной продукции намерена брать опытные образцы и определять их соответствие и по мере своих возможностей обеспечивать соблюдение таможенных правил. Ассоциация планирует внести свой вклад в решение этой проблемы за счет обучения, проведения семинаров для работников таможенных служб.

В ближайшей перспективе российским производителям кабеля предстоит еще одна актуальная задача – определить отношения с предприятиями, выпускающими и продающими продукцию сомнительного качества. Рост такого предложения связан как с процессом перехода от ГОСТов к системе добровольной сертификации, «размывающего» стандарты качества и контроль за ними, так и со сравнительно небольшой капиталоемкостью малого по масштабам выпуска кабельного производства, позволяющей таким небольшим предприятиям выйти на рынок с минимальными затратами. Конечно, производители низкокачественного кабеля не являются прямыми конкурентами крупных заводов по причине неравенства масштабов, но они бросают тень на добросовестные предприятия, в том числе и на совершенно конкретные производства, тем более что на российском кабельном рынке присутствует и прямой контрафакт. Значит, чтобы бороться с недобросовестными конкурентами, российским представителям кабельного рынка предстоит с максимальной четкостью отсечь себя от них.

Не случайно летом 2006 года десять ведущих предприятий отечественной кабельной промышленности, членыассоциации «Электрокабель», приняли решение об учреждении некоммерческой организации «Фонд поддержки программ развития предприятий кабельной промышленности». Одна из его ближайших задач - пересмотр действующих и разработка новых стандартов на кабели и провода, приведение их в соответствие с требованиями Международной электротехнической комиссии (МЭК). Таким образом, положительный результат должен работать и на повышение конкурентоспособности отечественной продукции на внешнем и внутреннем рынке, и на отделение «белых» производителей от «серых» и «черных», и на упорядочение правил, по которым работает рынок.

В связи с глобальным экономическим кризисом, который коснулся всех отраслей без исключения можно предположить, что ситуация на рынке КПП ещё в течение некоторого времени будет сложной. Высокая конкуренция, порожденная снижением спроса на кабельную продукцию, приведет к тому, что сами производители станут активнее как продавцы, что может негативно сказаться на посреднических организациях, работающих на данном рынке.

В настоящий момент не хватает промышленной политики, которая бы помогла сделать экономику страны многоплановой, конкурентоспособной на уровне машиностроения, транспорта, сельского хозяйства, а не только нефти и газа. Со стороны государства сейчас очень важно внимание к бизнесу, так как это основа экономики страны, ее бюджета и благосостояния ее граждан.

Еще статьи с сайта ООО «Энергофорум» (http://www.energoforum.org/)

Ключевые слова:

- силовые кабели

- Исследование рынка кабельной продукции

- Ассоциация «Электрокабель»

- ОАО «Иркутсккабель»

- ОАО «Камкабель»

- ОАО «Севкабель»

- ОАО «Электрокабель»

- кабельная продукция",https://energoforum.org/image/catalog/EForum/logo[1].png,"['кабельной', 'и', 'структуры', 'анализ', 'продукции', 'по', 'не', 'что', 'рынка', 'на', 'в', 'с', 'оао']","Исследование рынка кабельной продукции России показывают, что объем потребления в настоящий момент оценивается в 6 млрд.
Согласно исследованию рынка кабельной продукции динамика импорта явно выигрывает в сравнении с экспортом из России КПП.
Ассоциация кабельной продукции намерена брать опытные образцы и определять их соответствие и по мере своих возможностей обеспечивать соблюдение таможенных правил.
Таким образом, положительный результат должен работать и на повышение конкурентоспособности отечественной продукции на внешнем и внутреннем рынке, и на отделение «белых» производителей от «серых» и «черных», и на упорядочение правил, по которым работает рынок.
Еще статьи с сайта ООО «Энергофорум» (http://www.energoforum.org/)Ключевые слова:- силовые кабели- Исследование рынка кабельной продукции- Ассоциация «Электрокабель»- ОАО «Иркутсккабель»- ОАО «Камкабель»- ОАО «Севкабель»- ОАО «Электрокабель»- кабельная продукция",https://energoforum.org/issledovanie-rinka-kabelnoy-produktsii/,Распределение спроса кабельной продукции по странам,False
