,date,text,top_image,keywords,summary,url,query,is_shop
0,,"Тенденции мирового рынка ПВХ-пластикатов

Применяется пластикат ПВХ для изолирования кабелей и проводов, производства труб, поливинилхлоридного волокна, мебельной кромки, линолеума, профилей для пластиковых окон и мн. др. Российский рынок ПВХ плстиката постоянно увеличивается. Для защиты металлоконструкций, промышленных помещений, транспорта, спецоборудования и пр. используется пластикат ПВХ листовой, как прокладочный и трудносгораемый материал. Для изоляции кабелей различного назначения используется самозатухающий ПВХ пластикат.. Кабельная промышленность при производстве проводниковой продукции использует кабельный пластикат ПВХ, как материал для изоляции и оболочек. Производство ПВХ пластикатов организовано на многих химических предприятиях, но ни одно из них не является крупным. К физическим свойствам материала относится плотность пластиката ПВХ – 1,35-1,43 г/см куб. Для изготовления уплотнителей, мебельной фурнитуры, литьевых и медицинских изделий выпускают пластикат ПВХ прозрачный, имеющий желтоватый оттенок.

Спрос на гибкие полимеры на мировом рынке, будут ли ПВХ-пластикаты вытеснены полиолефинами, крупнейшие мировые производители.

Объем рынка гибких полимеров

По оценкам журнала PlasticsNews совокупный мировой объем производства гибких полимеров 2006 году составил 21 240 тыс. тонн. Американская исследовательская компания Chemical Market Resources Inc. прогнозирует рост объемов мирового спроса на гибкие полимеры к 2008 году на 18,1% до 25 080 тыс. тонн. На сегодняшний день в мировой практике среди гибких полимеров абсолютно доминируют ПВХ-пластикаты.

Грядет ли вытеснение ПВХ другими пластиками?

Совокупные объемы потребления ПВХ-пластикатов на американском рынке в 2005 году составили 3 228 тыс. тонн, при этом на сегмент производства проводов и кабеля пришлось 514 тыс. тонн. Средний рост объема потребления ПВХ-пластикатов за последние пять лет составил 1,7% в год, кабельных пластикатов – 2%.

Спрос на ПВХ-пластикаты в США в 2000-2005 г.г., тыс. тонн

Конечное применение 2000 2005 Годовой средний рост (2005); % Компаунды Смолы Компаунды Смолы Пленка и листы 642 442 694 477 1,6 Провода и кабели 466 218 514 240 2 Покрытия тканей 432 215 482 240 2,2 Профили и трубы 334 160 370 177 2,1 Остальное 1092 340 1168 364 1,4 Всего 2966 1375 3228 1499 1,7

В последние десятилетия в профессиональной среде идет активная полемика по поводу перспектив замещения ПВХ-пластикатов альтернативными видами сырья. В первую очередь речь идет о полиолефинах, особенно произведенных на основе металлоценовых катализаторов.

Ключевые мотивы, обуславливающие интерес к разработкам альтернативных видов сырья в сегментах, где преобладает ПВХ-пластикаты, на ведущих западных рынках – сомнения в экологичности и безопасности ПВХ-материалов. И соответственно, опасения, что использование ПВХ-сырья в любой момент может быть запрещено или существенно ограниченно административным путем.

Полиолефины и альтернативные материалы имеют плотность, превосходящую ПВХ, и цена может быть на порядок ниже. Это ценовое преимущество, если результаты окажутся такими же, может существенно расширить доли альтернативных видов материалов.

Однако на практике процесс замещения идет крайне медленно. Ниже приведены основные выделяемые в западных публикациях причины, осложняющие замещение ПВХ:

1. ПВХ используется в большом количестве медицинском секторе. К плюсам ПВХ можно отнести тот факт, что ПВХ имеет самые лучшие достижения среди других пластиковых материалов, использовавшихся до сегодняшнего времени. Несмотря на длительность его использования в медицине, никогда не было случаев, чтобы ПВХ или связанные с ним материалы, стали причиной каких-либо медицинских проблем или смерти пациентов. Это достижение, которым может похвастаться не каждый пластик. Эта отличная репутация делает ПВХ сложным объектом для замещения.

2. Среди термопластичных материалов, ПВХ обладает свойствами и термопластиков и, помимо этого, его легко смешивать, чтобы достичь гибкости, поэтому он находит множество конечных применений даже через простое смешивание. Другим пластикам (ПЭ, ПП, ПС) необходимо индивидуальное смешивание с резиной, чтобы достичь гибкости. С другой стороны, гибкость ПВХ может быть и получена простым изменением уровня пластификатора. Таким образом, это снижает зависимость от реакторных технологий.

3. Производство ПВХ вертикально-интегрированно, что усложнят выпуск новых материалов на рынок.

4. Большинство ПВХ конверторов на рынке, связаны только с ПВХ и не могут передаваться другим пластикам и наоборот.

5. Разработка альтернативных материалов, главным образом из полиолефинов, все еще находится на начальной стадии и очень дорогостояща. И до сих пор не разработана система полного замещения.

Одной из сложностей связанной с экологичностью и безопасностью использования ПВХ является превалирование использования в качестве стабилизаторов, содержащих свинец. В Северной Америке и в Европе уходят от их использования, заменяя их стабилизаторами из смешанных металлов. Европейская индустрия винила создала добровольное общество Vinyl 2010 для того чтобы заменить стабилизаторы, содержащие свинец, на более экологически-чистые смешанные металлы или органические стабилизаторы. Цель – абсолютно заменить свинец к 2015 и сократить потребление свинца на 50% к 2010 году.

В 2004 году компания Chemical Market Resources Inc. провела исследование “Возможности замещения гибких ПВХ полиолефинами”.

Основными конечными применениями для гибких ПВХ являются: (1) пленки и листы, (2) провода и кабели, (3) покрытия тканей, (4) трубы и профили, и другие применения.

Гибкие ПВХ давно являются потенциальным объектом замещения для многих производителей полиолефина. Основываясь на подробном анализе конечных применений гибких ПВХ, самым большим потенциальным рынком замещения ПВХ полиолефином являются пленки и листы. Применение пленок и листов состоит из: (1) усадочные пленки, (2) безусадочные пленки, (3) геопокрытия, (4) кровельные покрытия, (5) медицинские пакеты, (6) промышленные ленты, (7) прозрачная упаковка.

Данные сегменты рынка подвержены замещению полиолефином, произведенном на основе металлоценовых катализаторов. Приведем основные причины: (1) преимущество по плотности, (2) малая дозировка, (3) схожесть продуктов, (4) более чистый продукт; (5) прост в переработке.

Другие рынки, склонные к замещению: медицинские трубки, промышленные шланги, трубы, медицинские изделия, уплотнители и прокладки, прозрачная упаковка и другие. Полиолефины на основе металлоценовых катализаторов уже вторглись на рынок пленок: усадочные пленки, безусадочные пленки, ленты и пакеты для крови.

Говоря о полном потенциальном замещении гибких ПВХ новым поколением полиолефинов, можно основываться на следующих факторах: (1) наличие поставщиков полиолефина на данном сегменте рынка, (2) сочетание продукции с полиолефином. (3) наличие конверторов схожих с ПВХ и не ПВХ материалами, (4) возможность использовать существующее оборудование.

Привлекательность рынка – привлекательность рынка была определена по пяти факторам: (1) мировая конкуренция, (2) ценовая политика, (3) размер рынка, (4) рост, (5) количество конечных применений. Для каждого параметра даны различные процентные соотношения и распространение: (1) мировая конкуренция (30%), (2) ценовая политика (20%), (3) размер рынка (20%), (4) рост (15%), (5) количество конечных применений (15%). Все основные рынки гибких ПВХ оценены по вышеперечисленным параметрам по шкале от 0 до 1.

Индекс уязвимости – индекс уязвимости был определен по следующим факторам: (1) развитие продукта и удачный выбор времени, (2) соотношение стоимость/производительность, (3) экологическая нагрузка, (4) взаимозаменяемость и (5) возможность использовать существующее оборудование. Для каждого параметра даны различные процентные соотношения и распространение: (1) развитие продукта и удачный выбор времени (35%), (2) соотношение стоимость/производительность (30%), (3) экологическая нагрузка (15%), (4) взаимозаменяемость (10%), (5) возможность использовать существующее оборудование (10%).

Таким образом, обобщая изложенное в исследовании, мы отмечаем, что потенциально изоляция и оболочка для проводов и кабеля в достаточно средней степени уязвима и привлекательна для замещения альтернативными видами сырья на ведущих мировых рынках. Это позволяет производителям кабельных пластикатов заранее получить сигнал об опасности со стороны потенциальных заменителей в случае, если процесс замещения начнет развиваться в наиболее перспективных для замещения рынках (промышленные шланги и трубки, медицинские трубки, уплотнители и прокладки, усадочные и безусадочные пленки). Однако в России, идет обратный процесс, ПВХ-пластикаты только проникают в большинство из этих сегментов.

Касательно непосредственно кабельных ПВХ пластикатов, то ситуация с их замещением по мнению ведущих производителей полимерного сырья в Европе следующая.

ПВХ имеет два недостатка в случаях, связанных с огнем:

- они выделяют темный и токсичный дым и людям сложно найти выход при пожаре.

Также они коррозийны, в результате большого скопления кислот.

Замена гибких ПВХ уже началась, особенно в секторе строительства общественных зданий (метро, аэропорты, станции, административные здания).

В европейских странах (Испания – Голландия – Швеция) правительство поощряет развитие пожароустойчивых компаундов, не содержащих галоген, снижением налогов в этой области.

Компаунды из полиолефинов не выделяют черный дым или агрессивных кислот при горении. Они могут использоваться при более высоких температурах, чем ПВХ (предел – 110С).

Недостатком компаундов из полиолефинов является то, что они более жесткие. Компания Arkema производятся подходящие продукты (сополимеры и терполимеры этилена), для сокращения интервала жесткости, по сравнению с ПВХ.

Рост пожароустойчивых, не содержащих галоген компаундов был довольно значительным за последние годы (10-20% в год). Прогнозируется. Что такой рост продолжится и в будущем.

Например, сейчас продвигаются пожароустойчивые, не содержащие галоген компаунды (HFFP) на европейские рынки автомобильных двигателей в качестве замены ПВХ. В данной области ПВХ ограничено в термостойкости.

Ведущие мировые производители ПВХ-пластикатов



Shulman Inc.

A. Shulman – ведущий мировой производитель высококачественных пластиковых компаундов и смол, которые используются в качестве сырьевого материала на разнообразных рынках.

Основной товарной линей компанией являются пластиковые компаунды, цветовые концентраты и добавки, которые улучшают внешний вид и качества пластика.

Головой офис компании располагается в Akron, штат Огайо. Компания владеет производственными мощностями в Северной Америке, Европе, Мексике и в Азиатско-тихоокеанском регионе.

Компания является проверенным поставщиком гибких компаундов более 30 лет.

Продукция: Кабельные пластикаты SUNPRENE®

SUNPRENE® успешно используется как высококачественный, экономичный заменитель резины и других термопластичных эластомеров в таких областях как автомобильная промышленность, провода и кабели, тяжелая промышленность. Преимущества: отличная способность переносить атмосферные условия, прочность, простота в обработке, пониженная степень трения. Использование в обработке включает экструзию и каландрование, со специальными разновидностями пригодными для выдувного литья и литьевого формования.

Colorite Polymers



На протяжении 50 лет Colorite Polymers является ведущим производителем высококачественных ПВХ компаундов. Компания является подразделением Tekni-Plex, Inc., мирового разностороннего производителя упаковки, продукции и материалов для здравоохранения, потребительского рынка и рынка пищевой упаковки.

Colorite Polymers предлагает широкий ассортимент ПВХ компаундов для применения в медицине, автомобильной промышленности, строительстве. Компания постоянно сотрудничает со своими клиентами и разрабатывает новые компаунды.

Головной офис располагается в Ridgefield, Нью Джерси. Производственные мощности располагаются в Sparks, Невада и в Belfast, Северная Ирландия.

Продукция: Кабельные пластикаты.

Пластикаты, не содержащие свинец

Марка Максимальная температура (°C) Применение CS6019GP 60 изоляция, обшивка для кабелей ""витая пара"", экранированных кабелей ""витая пара"", двухосевых кабелей CS6023GP 60 изоляция, обшивка для кабелей ""витая пара"", экранированных кабелей ""витая пара"", двухосевых кабелей CS6041GP 60 изоляция, обшивка для кабелей ""витая пара"", двухосевых кабелей, подходит для аккумуляторных кабелей CS7541GP 80 обшивка для NMB CS8039UL 80 огнеустойчивая обшивка, хорошие характеристики при низких температурах для кабелей питания и кабелей управления. CS8036CS 80 изоляция и обшивка для автомобильных GPT кабелей, двухосевых кабелей, кабелей ""витая пара"". CS9040UL 90 обшивка для гибких шнуров, кабелей промежуточного напряжения, кабелей питания, кабелей управления. CS151GP 105 обшивка CS1521SC 105 обшивка для сервисных шнуров и экранированных кабелей ""витая пара"" CS1524SP 105 огнеустойчивая изоляция и обшивка для проволоки высокого электросопротивления

Пластикаты для обшивки

Марка Максимальная температура (°C) Применение CS8039UL 80 UL TW устойчив к солнечному воздействию CS6033UL 60 UL T TW CS1533UL 105 UL THHN, THWN AWM UL CS9040UL 90 кабели промежуточного напряжения, кабелей промежуточного напряжения. SPT, SJT, SVT. устойчив к солнечному воздействию CS7566LS 75 CS1537SC 105 SPT, SJT, SVT компьютерный ленточный кабель. CS8042SC 80 SPT, SJT, SVT, TF, XT, CXT. CS1542OR 105 SPT, SJT, SVT. Устойчивость к действию масел. CS904015 105 кабели промежуточного напряжения, кабелей промежуточного напряжения. SPT, SJT, SVT. устойчив к солнечному воздействию



Изоляционные пластикаты

Марка Максимальная температура (°C) Применение CS7559LS 75 полостная изоляция CS1534SR 105 полужесткий UL 1061 CSA-SR MIL-W-16878 CS6037GP 80 UL T, TW CS9039GP 90 UL TW, THW AWM. CS1535UL 105 UL, THHN, THWN AWM CS1533UL 105 UL THHN, THWN AWM CS6038SR 60 Полужесткий UL, T CS9038UL 90 UL T, TW CS1539GP 105 изоляция UL-1015 AWM-32

Пластикаты марки Weatherflex

Марка Максимальная температура (°C) Применение CS15522 WX NTL01P 105 покрытая свинцом обшивка для гибких шнуров CS15522WX NTL01B 105 обшивка, не содержащая свинец, для гибких шнуров CS1521WX NT01B 105 обшивка, не содержащая свинец, для гибких шнуров CS1525WX NTL01B 105 обшивка, не содержащая свинец, для гибких шнуров CS1522WX NTL70B 105 не содержащий свинец материал для гибких шнуров CS1536WX NTL01P 105 не содержащий свинец материал для гибких шнуров CS1532WX NTL02P 105 покрытая свинцом изоляция для гибких шнуров CS1534WX NTL02P 105 покрытая свинцом изоляция для гибких шнуров CS1534WX NTL01P 90 покрытая свинцом обшивка для аудио кабелей CS7524WX NTL01P 75 покрытая свинцом обшивка кабелей для питания от внешнего источника

Solvay Benvic

Компания имеет пять заводов в Европе: Бельгия, Франция, Италия, Россия и Испания, и одна в Бразилии, дающие производственную мощность 350, 000 тонн в год. ПВХ компаунды компании Benvic пожароустойчивы, устойчивы к износу, тепловому старению, что делает их идеальными для обшивки, изоляции кабелей; а также для автомобильных, телекоммуникационных и специальных кабелей.

Автомобильные кабели.

Подвергаются воздействию сильной жары, холода, пыли, химикатам, механическому износу, огню. Пластикаты Benvic используются из-за их устойчивости к тепловому старению, износу и огню.

Benvic® KI002/0000

Вид – пластикат

Форма – гранулы

Цвет – бесцветный

Стабилизатор – кальций-цинк

Прозрачность – непрозрачный

Особые свойства – улучшенная устойчивость к тепловому старению.

Силовые кабели.

Для промышленных и домашних кабелей, Benvic пластикаты используются для обшивки и изоляции. Они используются в полужестких и гибких кабелях, со служебной температурой от 70 до 105C.

Они демонстрируют устойчивость к тепловому старению, химикатам, погоде, износу и огню.

Они также могут быть изготовлены без тяжелых металлов.

Benvic® KI095/0900

Вид – пластикат

Форма – гранулы

Цвет - черный

Стабилизатор – кальций-цинк

Прозрачность – непрозрачный.

Специальные кабели.

Сюда включаются компаунды типа Plenum с высокой пожароустойчивостью, с низким выделением дыма, дающие усадку при нагревании покрытия с устойчивостью к износу.

Benvic® KG052/0000

Вид – пластикат

Форма – гранулы

Цвет – бесцветный

Стабилизатор – кальций-цинк

Прозрачность – непрозрачный

Телекоммуникационные кабели.

Этот быстрорастущий сектор может быть разбит на две основные группы: телефонные кабели и кабели системы передачи и обработки данных. Компаунды Benvic используются для внутренней и внешней обшивки и изоляции телефонных кабелей, спиральных шнуров и распределительных щитов, так же как и для обшивки коммуникационных кабелей, видео кабелей и кабелей системы безопасности.

Для такого использования необходимы: низкая подверженность коррозии, хорошая пожароустойчивость и устойчивость к износу.

Компаунды Benvic идеальны для обшивки коаксиальных радиочастотных кабелей, таких как ТВ антенны, распределительные кабели.

Benvic® KI100/0000

Тип – пластикат

Форма – гранулы

Цвет – бесцветный

Стабилизатор – кальций-цинк

Прозрачность – непрозрачный



Poly One



PolyOne Corporation ведущий мировой производитель компаундов. Головной офис расположен в Огайо. Также компания располагает производственными мощностями в Северной Америке, Европе и Азии, и имеет совместные предприятия в Северной Америке и Южной Америке.

Гибкие ПВХ компаунды.

Кабельные пластикаты.

Geon® Vinyl Wire & Cable Compounds.

Пластикаты PolyOne используются почти для любой обшивки кабелей, первичной изоляции в таких областях использования как: телекоммуникации, волоконно-оптический кабели, электропроводка, силовые кабели и кабели управления, и др.

Plenstar®Plenum Vinyl Compounds.

Низкое дымовыделение, пожароустойчивоасть.

Используется для телекоммуникационных кабелей, волоконно-оптических кабелей, кабелей общего назначения.

PlenStar® Plenum Vinyl Compounds.

Вид Описание 1 360 Изоляция кабелей системы безопасности JAP61A Обшивка кабелей системы безопасностей

Georgia Gulf Corporation

Georgia Gulf Corporation – ведущий североамериканский производитель и поставщик ПВХ компаундов. Главный офис – Atlanta, штат Джорджия.

Производственные мощности

Продукт Производственные мощности ВМХ 3.1 миллиардов фунтов Смолы 2.7 миллиардов фунтов Компаунды (жесткие и гибкие) 960 миллионов фунтов

Месторасположения заводов по производству компаундов

Месторасположение Продукт Производственные мощности Aberdeen Компаунды 135 миллионов фунтов Gallman Компаунды 500 миллионов фунтов Madison (2 завода) Компаунды 230 миллионов фунтов Prairie Компаунды 95 миллионов фунтов

Обшивочные пластикаты

Продукт Описание 10640 Гибкий обшивочный пластикат, не содержащий свинец стабилизатор 10751 Высококачественный обшивочный пластикат, max температура 80С 10752 Обшивочный пластикат 75С 10753 Пожароустойчивый пластикат (60С) для неметаллических проводов и кабелей, обшивка 10754 Обшивочный пластикат 75С, микробоустойчивый 1131-57D Обшивочный пластикат 105С. Не содержащий свинец стабилизатор 11890 Пожароустойчивый обшивочный пластикат 2161А Пожароустойчивый, устойчивый к действию масел обшивочный пластикат (105С) 312 Обшивочный и изоляционный пластикат общего назначения 37740 Пластикат, использующийся для внутренней и внешней обшивки в кабелях Teck 90.

Изоляционные пластикаты",https://e-plastic.ru/bitrix/templates/plastik/favicon.ico,"['обшивка', 'пвх', 'самозатухающего', 'рынок', 'пластиката', 'и', 'листового', 'кабельного', 'не', '105', 'кабелей', 'на', 'в', 'для', 'гибких']","Тенденции мирового рынка ПВХ-пластикатовПрименяется пластикат ПВХ для изолирования кабелей и проводов, производства труб, поливинилхлоридного волокна, мебельной кромки, линолеума, профилей для пластиковых окон и мн.
Большинство ПВХ конверторов на рынке, связаны только с ПВХ и не могут передаваться другим пластикам и наоборот.
Основными конечными применениями для гибких ПВХ являются: (1) пленки и листы, (2) провода и кабели, (3) покрытия тканей, (4) трубы и профили, и другие применения.
(3) наличие конверторов схожих с ПВХ и не ПВХ материалами, (4) возможность использовать существующее оборудование.
Компаунды Benvic используются для внутренней и внешней обшивки и изоляции телефонных кабелей, спиральных шнуров и распределительных щитов, так же как и для обшивки коммуникационных кабелей, видео кабелей и кабелей системы безопасности.",https://e-plastic.ru/spravochnik/research/tendencii-mirovogo-rynka-pvkh-plastikatov/,Совокупный мировой спрос на силовую кабельную продукцию,False
1,,"Дата: 29.05.2014

Рынок кабельной продукции достаточно динамичен в настоящее время. В период за 2000-2006 гг. объемы производства в этой отрасли демонстрировали рост в среднем на 7-12% в год, а в 2007 году увеличение объема по весу меди составило более 10%.

Среди кабелей можно выделить наиболее динамично растущие сегменты – это силовые кабели гибкие (среднегодовые темпы роста в последние годы на уровне 27%) и силовые кабели высоковольтные (темпы роста 32%).

Столь интенсивное увеличение объясняется следующими причинами:

Переход российской электроэнергетики на силовые кабели с изоляцией из сшитого полиэтилена, а также на самонесущие провода воздушных линий передачи электроэнергии.

с изоляцией из сшитого полиэтилена, а также на самонесущие провода воздушных линий передачи электроэнергии. Реконструкция и расширение существующих сетей по передаче электроэнергии, что является стимулом к росту потребления более мощных кабелей (свыше 20-30 кВ).

Увеличение темпов строительства распределительных сетей и рост потребностей в проводах для линий электропередачи (при этом планируется переход на изолированные провода).

Всего в России более сотни кабельных производств, выпускающих различные виды кабельной продукции. Крупных заводов, входящих в отраслевую Ассоциацию «Электрокабель» – 85.

Учитывая специализацию производителей на разных видах продукции, концентрация производства в отрасли незначительная, однако, на 12 самых крупных производителей кабельной продукции приходится до 80% от общих объемов производства.

Среди крупнейших предприятий по переработке меди можно выделить:

ОАО «Иркутсккабель», «Кирскабель», ОАО «Камкабель», ЗАО «Москабель», ОАО «Севкабель», ЗАО «Завод «Людиновокабель», ОАО «Завод «Сарансккабель» (рис. 8).

Среди предприятий-лидеров по переработке алюминия выделяются:

ОАО «Электрокабель», ОАО «Камкабель», ЗАО «Москабель», ЗАО «Самарская кабельная компания», ЗАО «Сибкабель», ЗАО НП «Подольсккабель».

Рис. 1. Структура рынка кабельной продукции по производителям, Россия и СНГ 2007 г.

Среди всех заводов-производителей выделяются четыре крупных игрока на рынке кабельно-проводниковой продукции: ОАО «Иркутсккабель», «Кирскабель», ОАО «Камкабель» и ОАО «Электрокабель» Кольчугинский завод», обороты которых по результатам 2007 года превышают 10 миллиардов рублей, и около 12-15 предприятий, объемы продаж которых составляют 80-85% всего производства кабеля в России.

Исследование рынка кабельной продукции России показывают, что объем потребления в настоящий момент оценивается в 6 млрд. долларов. В целом на рынке России отечественные производители занимают порядка 60%, а остальное – импорт. И главная задача отечественных производителей на данный момент обеспечить полное импортозамещение. Для достижения поставленной цели делается всё необходимое: предприятия закупают самое современное оборудование западных производителей, на всех российских заводах реализуются крупные инвестиционные программы, ведется активная модернизация оборудования. Например, на предприятиях ОАО «Севкабель» на 90% заменили все оборудование на новое. Это надежные линии, которые могут эксплуатироваться десятками лет.

Если загрузить отечественные кабельные заводы на 100%, то вполне можно обеспечить потребность России и СНГ в кабеле, который соответствует всем европейским параметрам, так как оборудование, установленное на отечественных предприятиях, то же самое, что и на Западе, а технологии производства – ничуть не хуже. Можно с уверенностью заявить, что отечественная кабельная промышленность удовлетворяет потребности российского рынка по большинству позиций. В частности, кабельные заводы России и СНГ практически закрывают спрос по самонесущим изолированным проводам, на волоконно-оптический кабель и обмоточные провода.

Сейчас в России нет ни одного кабельного завода, у которого больше 30% продукции идет на экспорт. Экспортируются только отдельные виды изделия, от общего объема производства российских предприятий эта доля составляет не более 20%.

Динамику экспорта из России основных номенклатурных групп кабельно-проводниковой продукции за период первого-второго квартала 2008 г. нельзя считать положительной. (Рис. 9-12) Несмотря на то, что объем экспортных продаж по всем номенклатурным группам увеличился, темп пророста в основном сократился, за исключением одной номенклатурной группы: силовой кабель на напряжение до 1 кВ.

Согласно исследованию рынка кабельной продукции динамика импорта явно выигрывает в сравнении с экспортом из России КПП. Например, при сравнении объема продаж КПП по самой дорогостоящей номенклатурной группе «силовой кабель на напряжение 1 кВ и выше» можно сделать вывод, что наша страна больше покупает, чем продает.

Рис.2. Объем экспортных продаж кабельно-проводниковой продукции за I-II кв. 2008г. (в тыс. $)

Рис. 3. Темп прироста экспортных продаж кабельно-проводниковой продукции за I-II кв. 2008г. (в %)

Рис. 4. Объем импортных поставок кабельно-проводниковой продукции за I-II кв. 2008г. (в тыс. $)

Рис. 5. Темп прироста импортных поставок кабельно-проводниковой продукции за I-II кв. 2008г. (в %)

Разница в цене продукции российского и зарубежного производства в среднем составляет 10–20% и зависит от напряжения кабеля – чем оно выше, тем больше разрыв. Ценовая политика российских заводов более гибкая, чем у западных предприятий. При этом разница по уровню цен на кабельную продукцию отечественных и зарубежных предприятий незначительна. Западные компании, конечно, стараются подстраиваться под отечественных производителей, но им это очень невыгодно.

На Западе есть преференции при экспорте. При поставке на экспорт в развивающиеся страны им государство помимо возвращения НДС компенсирует 25% от стоимости продукции. У нас, к сожалению, этого нет.

Кроме того, для производства конечной продукции и российские, и зарубежные заводы приобретают сырье по одинаковым ценам. Отечественные производители закупают медь, алюминий и другие цветные металлы у российских же поставщиков по ценам, установленным на лондонской бирже.

Немаловажным вопросом является существующий уровень российских стандартов. Российские ГОСТы и ОСТы – узконаправленные. Они были разработаны для применения только в России, и с ними отечественные заводы не могут выйти ни на один зарубежный рынок, даже стран СНГ. Сегодня все страны переходят на европейские и мировые стандарты. И в кабельной отрасли все направлено на то, чтобы российские нормы перевести на язык, который понимают во всем мире. Именно поэтому составляются переводные таблицы, для того чтобы можно было, сравнивая ГОСТы, ОСТы и европейский стандарт, подбирать ту или иную продукцию для нужд энергетики. Крупные заводы делают это своими силами, более мелкие – через ВНИИКП (Всероссийский научно – исследовательский, проектно – конструкторский и технологический институт кабельной промышленности).

Зачастую один и тот же кабель имеет по евростандарту одно обозначение, а по ГОСТу – совершенно другое. Не совпадает количество их технических характеристик. Вплоть до того, что при сравнении можно решить, что это не один кабель, а два совершенно разных изделия.

Другая проблема, с которой сталкивается потребитель на российском рынке кабельно-проводниковой продукции – это неофициальные поставки КПП. Кабель идет в страну по «серым» схемам и не по соответствующим кодам ТНВЭД. Так, например, зачастую бывают ситуации, когда по коду ТНВЭД под видом радиочастотного кабеля ввозится высоковольтный. Тогда как пошлина на один составляет 5%, а на другой – 10–15%. И, к сожалению, не каждый сотрудник таможенных органов может правильно определить вид кабеля, чтобы противодействовать нарушению.

Ассоциация кабельной продукции намерена брать опытные образцы и определять их соответствие и по мере своих возможностей обеспечивать соблюдение таможенных правил. Ассоциация планирует внести свой вклад в решение этой проблемы за счет обучения, проведения семинаров для работников таможенных служб.

В ближайшей перспективе российским производителям кабеля предстоит еще одна актуальная задача – определить отношения с предприятиями, выпускающими и продающими продукцию сомнительного качества. Рост такого предложения связан как с процессом перехода от ГОСТов к системе добровольной сертификации, «размывающего» стандарты качества и контроль за ними, так и со сравнительно небольшой капиталоемкостью малого по масштабам выпуска кабельного производства, позволяющей таким небольшим предприятиям выйти на рынок с минимальными затратами. Конечно, производители низкокачественного кабеля не являются прямыми конкурентами крупных заводов по причине неравенства масштабов, но они бросают тень на добросовестные предприятия, в том числе и на совершенно конкретные производства, тем более что на российском кабельном рынке присутствует и прямой контрафакт. Значит, чтобы бороться с недобросовестными конкурентами, российским представителям кабельного рынка предстоит с максимальной четкостью отсечь себя от них.

Не случайно летом 2006 года десять ведущих предприятий отечественной кабельной промышленности, членыассоциации «Электрокабель», приняли решение об учреждении некоммерческой организации «Фонд поддержки программ развития предприятий кабельной промышленности». Одна из его ближайших задач - пересмотр действующих и разработка новых стандартов на кабели и провода, приведение их в соответствие с требованиями Международной электротехнической комиссии (МЭК). Таким образом, положительный результат должен работать и на повышение конкурентоспособности отечественной продукции на внешнем и внутреннем рынке, и на отделение «белых» производителей от «серых» и «черных», и на упорядочение правил, по которым работает рынок.

В связи с глобальным экономическим кризисом, который коснулся всех отраслей без исключения можно предположить, что ситуация на рынке КПП ещё в течение некоторого времени будет сложной. Высокая конкуренция, порожденная снижением спроса на кабельную продукцию, приведет к тому, что сами производители станут активнее как продавцы, что может негативно сказаться на посреднических организациях, работающих на данном рынке.

В настоящий момент не хватает промышленной политики, которая бы помогла сделать экономику страны многоплановой, конкурентоспособной на уровне машиностроения, транспорта, сельского хозяйства, а не только нефти и газа. Со стороны государства сейчас очень важно внимание к бизнесу, так как это основа экономики страны, ее бюджета и благосостояния ее граждан.

Еще статьи с сайта ООО «Энергофорум» (http://www.energoforum.org/)

Ключевые слова:

- силовые кабели

- Исследование рынка кабельной продукции

- Ассоциация «Электрокабель»

- ОАО «Иркутсккабель»

- ОАО «Камкабель»

- ОАО «Севкабель»

- ОАО «Электрокабель»

- кабельная продукция",https://energoforum.org/image/catalog/EForum/logo[1].png,"['кабельной', 'и', 'структуры', 'анализ', 'продукции', 'по', 'не', 'что', 'рынка', 'на', 'в', 'с', 'оао']","Исследование рынка кабельной продукции России показывают, что объем потребления в настоящий момент оценивается в 6 млрд.
Согласно исследованию рынка кабельной продукции динамика импорта явно выигрывает в сравнении с экспортом из России КПП.
Ассоциация кабельной продукции намерена брать опытные образцы и определять их соответствие и по мере своих возможностей обеспечивать соблюдение таможенных правил.
Таким образом, положительный результат должен работать и на повышение конкурентоспособности отечественной продукции на внешнем и внутреннем рынке, и на отделение «белых» производителей от «серых» и «черных», и на упорядочение правил, по которым работает рынок.
Еще статьи с сайта ООО «Энергофорум» (http://www.energoforum.org/)Ключевые слова:- силовые кабели- Исследование рынка кабельной продукции- Ассоциация «Электрокабель»- ОАО «Иркутсккабель»- ОАО «Камкабель»- ОАО «Севкабель»- ОАО «Электрокабель»- кабельная продукция",https://energoforum.org/issledovanie-rinka-kabelnoy-produktsii/,Совокупный мировой спрос на силовую кабельную продукцию,False
